# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 x3 y3 vx3 vy3 x4 y4 vx4 vy4 x5 y5 vx5 vy5 x6 y6 vx6 vy6 x7 y7 vx7 vy7 x8 y8 vx8 vy8 x9 y9 vx9 vy9 x10 y10 vx10 vy10 x11 y11 vx11 vy11 x12 y12 vx12 vy12 x13 y13 vx13 vy13 x14 y14 vx14 vy14 x15 y15 vx15 vy15 x16 y16 vx16 vy16 x17 y17 vx17 vy17 x18 y18 vx18 vy18 x19 y19 vx19 vy19 x20 y20 vx20 vy20 x21 y21 vx21 vy21 x22 y22 vx22 vy22 x23 y23 vx23 vy23 x24 y24 vx24 vy24 x25 y25 vx25 vy25 x26 y26 vx26 vy26 x27 y27 vx27 vy27 x28 y28 vx28 vy28 x29 y29 vx29 vy29 x30 y30 vx30 vy30 x31 y31 vx31 vy31 x32 y32 vx32 vy32 x33 y33 vx33 vy33 x34 y34 vx34 vy34 x35 y35 vx35 vy35 x36 y36 vx36 vy36 x37 y37 vx37 vy37 x38 y38 vx38 vy38 x39 y39 vx39 vy39 x40 y40 vx40 vy40 x41 y41 vx41 vy41 x42 y42 vx42 vy42 x43 y43 vx43 vy43 x44 y44 vx44 vy44 x45 y45 vx45 vy45 x46 y46 vx46 vy46 x47 y47 vx47 vy47 x48 y48 vx48 vy48 x49 y49 vx49 vy49
0 1.11111 1.25 1.05274 0.975603 2.22222 1.25 -0.0568301 -1.35801 3.33333 1.25 -1.40341 -1.41783 4.44444 1.25 -0.704809 0.552983 5.55556 1.25 1.37653 -0.518578 6.66667 1.25 1.09414 -0.923426 7.77778 1.25 -0.994517 0.308436 8.88889 1.25 -0.201655 0.0270266 1.11111 2.5 -0.804402 -1.05364 2.22222 2.5 0.368111 -0.956989 3.33333 2.5 -1.11311 1.46349 4.44444 2.5 -0.963386 -1.37923 5.55556 2.5 -1.1495 -0.79511 6.66667 2.5 0.0748916 -0.918004 7.77778 2.5 -0.407935 0.961578 8.88889 2.5 0.95985 1.13381 1.11111 3.75 -0.788045 -1.3287 2.22222 3.75 -0.905127 -0.568067 3.33333 3.75 -0.212686 0.84021 4.44444 3.75 -1.05634 -0.944061 5.55556 3.75 -0.443253 -1.31847 6.66667 3.75 0.85798 -0.600844 7.77778 3.75 0.821142 -0.561864 8.88889 3.75 1.19722 1.17536 1.11111 5 -0.997607 -0.181898 2.22222 5 0.439978 0.860825 3.33333 5 1.1094 0.723913 4.44444 5 0.743649 -0.600829 5.55556 5 0.646673 -0.801739 6.66667 5 -1.25537 -1.07333 7.77778 5 -0.750519 0.988826 8.88889 5 -0.996229 -0.0107148 1.11111 6.25 -0.0986073 -1.22399 2.22222 6.25 1.19745 -0.741929 3.33333 6.25 0.795894 1.12277 4.44444 6.25 -1.40802 -0.410498 5.55556 6.25 0.889618 0.907882 6.66667 6.25 -0.462822 -1.30514 7.77778 6.25 -0.277534 1.28893 8.88889 6.25 -1.28239 -0.946361 1.11111 7.5 -0.728157 -1.26651 2.22222 7.5 0.830024 0.272118 3.33333 7.5 0.357768 -0.806807 4.44444 7.5 0.176894 -0.0195178 5.55556 7.5 1.27277 -0.539624 6.66667 7.5 1.02847 0.976201 7.77778 7.5 -1.37974 0.414816 8.88889 7.5 1.16237 1.26135 1.11111 8.75 0.0943611 1.42025 2.22222 8.75 -0.97535 -0.911316
0.05 1.16375 1.29878 1.05274 0.975603 2.21938 1.1821 -0.0568301 -1.35801 3.26316 1.17911 -1.40341 -1.41783 4.4092 1.27765 -0.704809 0.552983 5.62438 1.22407 1.37653 -0.518578 6.72137 1.20383 1.09414 -0.923426 7.72805 1.26542 -0.994517 0.308436 8.87881 1.25135 -0.201655 0.0270266 1.07089 2.44732 -0.804402 -1.05364 2.24063 2.45215 0.368111 -0.956989 3.27768 2.57317 -1.11311 1.46349 4.39628 2.43104 -0.963386 -1.37923 5.49808 2.46024 -1.1495 -0.79511 6.67041 2.4541 0.0748916 -0.918004 7.75738 2.54808 -0.407935 0.961578 8.93688 2.55669 0.95985 1.13381 1.07171 3.68357 -0.788045 -1.3287 2.17697 3.7216 -0.905127 -0.568067 3.3227 3.79201 -0.212686 0.84021 4.39163 3.7028 -1.05634 -0.944061 5.53339 3.68408 -0.443253 -1.31847 6.70957 3.71996 0.85798 -0.600844 7.81883 3.72191 0.821142 -0.561864 8.94875 3.80877 1.19722 1.17536 1.06123 4.99091 -0.997607 -0.181898 2.24422 5.04304 0.439978 0.860825 3.3888 5.0362 1.1094 0.723913 4.48163 4.96996 0.743649 -0.600829 5.58789 4.95991 0.646673 -0.801739 6.6039 4.94633 -1.25537 -1.07333 7.74025 5.04944 -0.750519 0.988826 8.83908 4.99946 -0.996229 -0.0107148 1.10618 6.1888 -0.0986073 -1.22399 2.28209 6.2129 1.19745 -0.741929 3.37313 6.30614 0.795894 1.12277 4.37404 6.22948 -1.40802 -0.410498 5.60004 6.29539 0.889618 0.907882 6.64353 6.18474 -0.462822 -1.30514 7.7639 6.31445 -0.277534 1.28893 8.82477 6.20268 -1.28239 -0.946361 1.0747 7.43667 -0.728157 -1.26651 2.26372 7.51361 0.830024 0.272118 3.35122 7.45966 0.357768 -0.806807 4.45329 7.49902 0.176894 -0.0195178 5.61919 7.47302 1.27277 -0.539624 6.71809 7.54881 1.02847 0.976201 7.70879 7.52074 -1.37974 0.414816 8.94701 7.56307 1.16237 1.26135 1.11583 8.82101 0.0943611 1.42025 2.17345 8.70443 -0.97535 -0.911316
0.1 1.21638 1.34756 1.05274 0.975603 2.21654 1.1142 -0.0568301 -1.35801 3.19299 1.10822 -1.40341 -1.41783 4.37396 1.3053 -0.704809 0.552983 5.69321 1.19814 1.37653 -0.518578 6.77608 1.15766 1.09414 -0.923426 7.67833 1.28084 -0.994517 0.308436 8.86872 1.2527 -0.201655 0.0270266 1.03067 2.39464 -0.804402 -1.05364 2.25903 2.4043 0.368111 -0.956989 3.22202 2.64635 -1.11311 1.46349 4.34811 2.36208 -0.963386 -1.37923 5.44061 2.42049 -1.1495 -0.79511 6.67416 2.4082 0.0748916 -0.918004 7.73698 2.59616 -0.407935 0.961578 8.98487 2.61338 0.95985 1.13381 1.03231 3.61713 -0.788045 -1.3287 2.13171 3.69319 -0.905127 -0.568067 3.31206 3.83402 -0.212686 0.84021 4.33881 3.65559 -1.05634 -0.944061 5.51123 3.61815 -0.443253 -1.31847 6.75246 3.68992 0.85798 -0.600844 7.85989 3.69381 0.821142 -0.561864 9.00861 3.86754 1.19722 1.17536 1.01135 4.98181 -0.997607 -0.181898 2.26622 5.08608 0.439978 0.860825 3.44427 5.07239 1.1094 0.723913 4.51881 4.93992 0.743649 -0.600829 5.62022 4.91983 0.646673 -0.801739 6.54113 4.89267 -1.25537 -1.07333 7.70273 5.09888 -0.750519 0.988826 8.78927 4.99893 -0.996229 -0.0107148 1.10125 6.1276 -0.0986073 -1.22399 2.34197 6.17581 1.19745 -0.741929 3.41292 6.36228 0.795894 1.12277 4.30364 6.20895 -1.40802 -0.410498 5.64452 6.34079 0.889618 0.907882 6.62038 6.11949 -0.462822 -1.30514 7.75002 6.37889 -0.277534 1.28893 8.76065 6.15536 -1.28239 -0.946361 1.0383 7.37335 -0.728157 -1.26651 2.30522 7.52721 0.830024 0.272118 3.36911 7.41932 0.357768 -0.806807 4.46213 7.49805 0.176894 -0.0195178 5.68283 7.44604 1.27277 -0.539624 6.76951 7.59762 1.02847 0.976201 7.6398 7.54148 -1.37974 0.414816 9.00513 7.62614 1.16237 1.26135 1.12055 8.89203 0.0943611 1.42025 2.12469 8.65887 -0.97535 -0.911316
0.15 1.26902 1.39634 1.05274 0.975603 2.2137 1.0463 -0.0568301 -1.35801 3.12282 1.03733 -1.40341 -1.41783 4.33872 1.33295 -0.704809 0.552983 5.76204 1.17221 1.37653 -0.518578 6.83079 1.11149 1.09414 -0.923426 7.6286 1.29627 -0.994517 0.308436 8.85864 1.25405 -0.201655 0.0270266 0.990451 2.34195 -0.804402 -1.05364 2.27744 2.35645 0.368111 -0.956989 3.16637 2.71952 -1.11311 1.46349 4.29994 2.29312 -0.963386 -1.37923 5.38313 2.38073 -1.1495 -0.79511 6.6779 2.3623 0.0748916 -0.918004 7.71659 2.64424 -0.407935 0.961578 9.03287 2.67007 0.95985 1.13381 0.992904 3.5507 -0.788045 -1.3287 2.08645 3.66479 -0.905127 -0.568067 3.30143 3.87603 -0.212686 0.84021 4.28599 3.60839 -1.05634 -0.944061 5.48907 3.55223 -0.443253 -1.31847 6.79536 3.65987 0.85798 -0.600844 7.90095 3.66572 0.821142 -0.561864 9.06847 3.9263 1.19722 1.17536 0.96147 4.97272 -0.997607 -0.181898 2.28822 5.12912 0.439978 0.860825 3.49974 5.10859 1.1094 0.723913 4.55599 4.90988 0.743649 -0.600829 5.65256 4.87974 0.646673 -0.801739 6.47836 4.839 -1.25537 -1.07333 7.6652 5.14832 -0.750519 0.988826 8.73945 4.99839 -0.996229 -0.0107148 1.09632 6.0664 -0.0986073 -1.22399 2.40184 6.13871 1.19745 -0.741929 3.45272 6.41842 0.795894 1.12277 4.23324 6.18843 -1.40802 -0.410498 5.689 6.38618 0.889618 0.907882 6.59724 6.05423 -0.462822 -1.30514 7.73615 6.44334 -0.277534 1.28893 8.69653 6.10805 -1.28239 -0.946361 1.00189 7.31002 -0.728157 -1.26651 2.34673 7.54082 0.830024 0.272118 3.387 7.37898 0.357768 -0.806807 4.47098 7.49707 0.176894 -0.0195178 5.74647 7.41906 1.27277 -0.539624 6.82094 7.64643 1.02847 0.976201 7.57082 7.56222 -1.37974 0.414816 9.06324 7.6892 1.16237 1.26135 1.12527 8.96304 0.0943611 1.42025 2.07592 8.6133 -0.97535 -0.911316
0.2 1.32166 1.44512 1.05274 0.975603 2.21086 0.978399 -0.0568301 -1.35801 3.05265 0.966434 -1.40341 -1.41783 4.30348 1.3606 -0.704809 0.552983 5.83086 1.14628 1.37653 -0.518578 6.88549 1.06531 1.09414 -0.923426 7.57887 1.31169 -0.994517 0.308436 8.84856 1.25541 -0.201655 0.0270266 0.950231 2.28927 -0.804402 -1.05364 2.29584 2.3086 0.368111 -0.956989 3.11071 2.7927 -1.11311 1.46349 4.25177 2.22415 -0.963386 -1.37923 5.32565 2.34098 -1.1495 -0.79511 6.68164 2.3164 0.0748916 -0.918004 7.69619 2.69232 -0.407935 0.961578 9.08086 2.72676 0.95985 1.13381 0.953502 3.48426 -0.788045 -1.3287 2.0412 3.63639 -0.905127 -0.568067 3.2908 3.91804 -0.212686 0.84021 4.23318 3.56119 -1.05634 -0.944061 5.46691 3.48631 -0.443253 -1.31847 6.83826 3.62983 0.85798 -0.600844 7.94201 3.63763 0.821142 -0.561864 9.12833 3.98507 1.19722 1.17536 0.91159 4.96362 -0.997607 -0.181898 2.31022 5.17216 0.439978 0.860825 3.55521 5.14478 1.1094 0.723913 4.59317 4.87983 0.743649 -0.600829 5.68489 4.83965 0.646673 -0.801739 6.41559 4.78533 -1.25537 -1.07333 7.62767 5.19777 -0.750519 0.988826 8.68964 4.99786 -0.996229 -0.0107148 1.09139 6.0052 -0.0986073 -1.22399 2.46171 6.10161 1.19745 -0.741929 3.49251 6.47455 0.795894 1.12277 4.16284 6.1679 -1.40802 -0.410498 5.73348 6.43158 0.889618 0.907882 6.5741 5.98897 -0.462822 -1.30514 7.72227 6.50779 -0.277534 1.28893 8.63241 6.06073 -1.28239 -0.946361 0.96548 7.2467 -0.728157 -1.26651 2.38823 7.55442 0.830024 0.272118 3.40489 7.33864 0.357768 -0.806807 4.47982 7.4961 0.176894 -0.0195178 5.81011 7.39208 1.27277 -0.539624 6.87236 7.69524 1.02847 0.976201 7.50183 7.58296 -1.37974 0.414816 9.12136 7.75227 1.16237 1.26135 1.12998 9.03405 0.0943611 1.42025 2.02715 8.56774 -0.97535 -0.911316
0.25 1.3743 1.4939 1.05274 0.975603 2.20801 0.910498 -0.0568301 -1.35801 2.98248 0.895543 -1.40341 -1.41783 4.26824 1.38825 -0.704809 0.552983 5.89969 1.12036 1.37653 -0.518578 6.9402 1.01914 1.09414 -0.923426 7.52915 1.32711 -0.994517 0.308436 8.83848 1.25676 -0.201655 0.0270266 0.910011 2.23659 -0.804402 -1.05364 2.31425 2.26075 0.368111 -0.956989 3.05506 2.86587 -1.11311 1.46349 4.2036 2.15519 -0.963386 -1.37923 5.26818 2.30122 -1.1495 -0.79511 6.68539 2.2705 0.0748916 -0.918004 7.67579 2.74039 -0.407935 0.961578 9.12885 2.78345 0.95985 1.13381 0.9141 3.41783 -0.788045 -1.3287 1.99594 3.60798 -0.905127 -0.568067 3.28016 3.96005 -0.212686 0.84021 4.18036 3.51398 -1.05634 -0.944061 5.44474 3.42038 -0.443253 -1.31847 6.88116 3.59979 0.85798 -0.600844 7.98306 3.60953 0.821142 -0.561864 9.18819 4.04384 1.19722 1.17536 0.861709 4.95453 -0.997607 -0.181898 2.33222 5.21521 0.439978 0.860825 3.61068 5.18098 1.1094 0.723913 4.63036 4.84979 0.743649 -0.600829 5.71722 4.79957 0.646673 -0.801739 6.35282 4.73167 -1.25537 -1.07333 7.59015 5.24721 -0.750519 0.988826 8.63983 4.99732 -0.996229 -0.0107148 1.08646 5.944 -0.0986073 -1.22399 2.52158 6.06452 1.19745 -0.741929 3.53231 6.53069 0.795894 1.12277 4.09244 6.14738 -1.40802 -0.410498 5.77796 6.47697 0.889618 0.907882 6.55096 5.92371 -0.462822 -1.30514 7.70839 6.57223 -0.277534 1.28893 8.56829 6.01341 -1.28239 -0.946361 0.929072 7.18337 -0.728157 -1.26651 2.42973 7.56803 0.830024 0.272118 3.42278 7.2983 0.357768 -0.806807 4.48867 7.49512 0.176894 -0.0195178 5.87375 7.36509 1.27277 -0.539624 6.92378 7.74405 1.02847 0.976201 7.43284 7.6037 -1.37974 0.414816 9.17948 7.81534 1.16237 1.26135 1.1347 9.10506 0.0943611 1.42025 1.97838 8.52217 -0.97535 -0.911316
0.3 1.42693 1.54268 1.05274 0.975603 2.20517 0.842598 -0.0568301 -1.35801 2.91231 0.824651 -1.40341 -1.41783 4.233 1.41589 -0.704809 0.552983 5.96852 1.09443 1.37653 -0.518578 6.99491 0.972972 1.09414 -0.923426 7.47942 1.34253 -0.994517 0.308436 8.82839 1.25811 -0.201655 0.0270266 0.86979 2.18391 -0.804402 -1.05364 2.33266 2.2129 0.368111 -0.956989 2.9994 2.93905 -1.11311 1.46349 4.15543 2.08623 -0.963386 -1.37923 5.2107 2.26147 -1.1495 -0.79511 6.68913 2.2246 0.0748916 -0.918004 7.6554 2.78847 -0.407935 0.961578 9.17684 2.84014 0.95985 1.13381 0.874698 3.35139 -0.788045 -1.3287 1.95068 3.57958 -0.905127 -0.568067 3.26953 4.00206 -0.212686 0.84021 4.12754 3.46678 -1.05634 -0.944061 5.42258 3.35446 -0.443253 -1.31847 6.92406 3.56975 0.85798 -0.600844 8.02412 3.58144 0.821142 -0.561864 9.24805 4.10261 1.19722 1.17536 0.811829 4.94543 -0.997607 -0.181898 2.35422 5.25825 0.439978 0.860825 3.66615 5.21717 1.1094 0.723913 4.66754 4.81975 0.743649 -0.600829 5.74956 4.75948 0.646673 -0.801739 6.29006 4.678 -1.25537 -1.07333 7.55262 5.29665 -0.750519 0.988826 8.59002 4.99679 -0.996229 -0.0107148 1.08153 5.8828 -0.0986073 -1.22399 2.58146 6.02742 1.19745 -0.741929 3.5721 6.58683 0.795894 1.12277 4.02204 6.12685 -1.40802 -0.410498 5.82244 6.52236 0.889618 0.907882 6.52782 5.85846 -0.462822 -1.30514 7.69452 6.63668 -0.277534 1.28893 8.50417 5.96609 -1.28239 -0.946361 0.892664 7.12005 -0.728157 -1.26651 2.47123 7.58164 0.830024 0.272118 3.44066 7.25796 0.357768 -0.806807 4.49751 7.49414 0.176894 -0.0195178 5.93739 7.33811 1.27277 -0.539624 6.97521 7.79286 1.02847 0.976201 7.36386 7.62444 -1.37974 0.414816 9.2376 7.87841 1.16237 1.26135 1.13942 9.17608 0.0943611 1.42025 1.92962 8.47661 -0.97535 -0.911316
0.35 1.47957 1.59146 1.05274 0.975603 2.20233 0.774698 -0.0568301 -1.35801 2.84214 0.75376 -1.40341 -1.41783 4.19776 1.44354 -0.704809 0.552983 6.03734 1.0685 1.37653 -0.518578 7.04962 0.926801 1.09414 -0.923426 7.4297 1.35795 -0.994517 0.308436 8.81831 1.25946 -0.201655 0.0270266 0.82957 2.13123 -0.804402 -1.05364 2.35106 2.16505 0.368111 -0.956989 2.94374 3.01222 -1.11311 1.46349 4.10726 2.01727 -0.963386 -1.37923 5.15323 2.22171 -1.1495 -0.79511 6.69288 2.1787 0.0748916 -0.918004 7.635 2.83655 -0.407935 0.961578 9.22484 2.89683 0.95985 1.13381 0.835295 3.28496 -0.788045 -1.3287 1.90543 3.55118 -0.905127 -0.568067 3.25889 4.04407 -0.212686 0.84021 4.07472 3.41958 -1.05634 -0.944061 5.40042 3.28854 -0.443253 -1.31847 6.96696 3.5397 0.85798 -0.600844 8.06518 3.55335 0.821142 -0.561864 9.30792 4.16138 1.19722 1.17536 0.761949 4.93634 -0.997607 -0.181898 2.37621 5.30129 0.439978 0.860825 3.72162 5.25337 1.1094 0.723913 4.70472 4.78971 0.743649 -0.600829 5.78189 4.71939 0.646673 -0.801739 6.22729 4.62433 -1.25537 -1.07333 7.5151 5.34609 -0.750519 0.988826 8.54021 4.99625 -0.996229 -0.0107148 1.0766 5.8216 -0.0986073 -1.22399 2.64133 5.99032 1.19745 -0.741929 3.6119 6.64297 0.795894 1.12277 3.95164 6.10633 -1.40802 -0.410498 5.86692 6.56776 0.889618 0.907882 6.50468 5.7932 -0.462822 -1.30514 7.68064 6.70113 -0.277534 1.28893 8.44005 5.91877 -1.28239 -0.946361 0.856256 7.05672 -0.728157 -1.26651 2.51273 7.59524 0.830024 0.272118 3.45855 7.21762 0.357768 -0.806807 4.50636 7.49317 0.176894 -0.0195178 6.00102 7.31113 1.27277 -0.539624 7.02663 7.84167 1.02847 0.976201 7.29487 7.64519 -1.37974 0.414816 9.29572 7.94147 1.16237 1.26135 1.14414 9.24709 0.0943611 1.42025 1.88085 8.43104 -0.97535 -0.911316
0.4 1.53221 1.64024 1.05274 0.975603 2.19949 0.706797 -0.0568301 -1.35801 2.77197 0.682868 -1.40341 -1.41783 4.16252 1.47119 -0.704809 0.552983 6.10617 1.04257 1.37653 -0.518578 7.10432 0.88063 1.09414 -0.923426 7.37997 1.37337 -0.994517 0.308436 8.80823 1.26081 -0.201655 0.0270266 0.78935 2.07855 -0.804402 -1.05364 2.36947 2.1172 0.368111 -0.956989 2.88809 3.08539 -1.11311 1.46349 4.05909 1.94831 -0.963386 -1.37923 5.09575 2.18196 -1.1495 -0.79511 6.69662 2.1328 0.0748916 -0.918004 7.6146 2.88463 -0.407935 0.961578 9.27283 2.95352 0.95985 1.13381 0.795893 3.21852 -0.788045 -1.3287 1.86017 3.52277 -0.905127 -0.568067 3.24826 4.08608 -0.212686 0.84021 4.02191 3.37238 -1.05634 -0.944061 5.37825 3.22261 -0.443253 -1.31847 7.00986 3.50966 0.85798 -0.600844 8.10623 3.52525 0.821142 -0.561864 9.36778 4.22015 1.19722 1.17536 0.712068 4.92724 -0.997607 -0.181898 2.39821 5.34433 0.439978 0.860825 3.77709 5.28957 1.1094 0.723913 4.7419 4.75967 0.743649 -0.600829 5.81422 4.6793 0.646673 -0.801739 6.16452 4.57067 -1.25537 -1.07333 7.47757 5.39553 -0.750519 0.988826 8.4904 4.99571 -0.996229 -0.0107148 1.07167 5.7604 -0.0986073 -1.22399 2.7012 5.95323 1.19745 -0.741929 3.65169 6.69911 0.795894 1.12277 3.88124 6.0858 -1.40802 -0.410498 5.9114 6.61315 0.889618 0.907882 6.48154 5.72794 -0.462822 -1.30514 7.66676 6.76557 -0.277534 1.28893 8.37593 5.87146 -1.28239 -0.946361 0.819848 6.9934 -0.728157 -1.26651 2.55423 7.60885 0.830024 0.272118 3.47644 7.17728 0.357768 -0.806807 4.5152 7.49219 0.176894 -0.0195178 6.06466 7.28415 1.27277 -0.539624 7.07806 7.89048 1.02847 0.976201 7.22588 7.66593 -1.37974 0.414816 9.35383 8.00454 1.16237 1.26135 1.14886 9.3181 0.0943611 1.42025 1.83208 8.38547 -0.97535 -0.911316
0.45 1.58484 1.68902 1.05274 0.975603 2.19665 0.638897 -0.0568301 -1.35801 2.7018 0.611977 -1.40341 -1.41783 4.12728 1.49884 -0.704809 0.552983 6.175 1.01664 1.37653 -0.518578 7.15903 0.834458 1.09414 -0.923426 7.33025 1.3888 -0.994517 0.308436 8.79814 1.26216 -0.201655 0.0270266 0.74913 2.02586 -0.804402 -1.05364 2.38787 2.06935 0.368111 -0.956989 2.83243 3.15857 -1.11311 1.46349 4.01092 1.87935 -0.963386 -1.37923 5.03828 2.1422 -1.1495 -0.79511 6.70037 2.0869 0.0748916 -0.918004 7.59421 2.93271 -0.407935 0.961578 9.32082 3.01021 0.95985 1.13381 0.756491 3.15209 -0.788045 -1.3287 1.81492 3.49437 -0.905127 -0.568067 3.23762 4.12809 -0.212686 0.84021 3.96909 3.32517 -1.05634 -0.944061 5.35609 3.15669 -0.443253 -1.31847 7.05276 3.47962 0.85798 -0.600844 8.14729 3.49716 0.821142 -0.561864 9.42764 4.27891 1.19722 1.17536 0.662188 4.91815 -0.997607 -0.181898 2.42021 5.38737 0.439978 0.860825 3.83256 5.32576 1.1094 0.723913 4.77909 4.72963 0.743649 -0.600829 5.84656 4.63922 0.646673 -0.801739 6.10175 4.517 -1.25537 -1.07333 7.44004 5.44497 -0.750519 0.988826 8.44059 4.99518 -0.996229 -0.0107148 1.06674 5.6992 -0.0986073 -1.22399 2.76107 5.91613 1.19745 -0.741929 3.69149 6.75525 0.795894 1.12277 3.81084 6.06528 -1.40802 -0.410498 5.95588 6.65855 0.889618 0.907882 6.4584 5.66269 -0.462822 -1.30514 7.65289 6.83002 -0.277534 1.28893 8.31181 5.82414 -1.28239 -0.946361 0.78344 6.93007 -0.728157 -1.26651 2.59573 7.62245 0.830024 0.272118 3.49433 7.13694 0.357768 -0.806807 4.52405 7.49122 0.176894 -0.0195178 6.1283 7.25717 1.27277 -0.539624 7.12948 7.93929 1.02847 0.976201 7.1569 7.68667 -1.37974 0.414816 9.41195 8.06761 1.16237 1.26135 1.15357 9.38911 0.0943611 1.42025 1.78331 8.33991 -0.97535 -0.911316
