# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 x3 y3 vx3 vy3 x4 y4 vx4 vy4 x5 y5 vx5 vy5 x6 y6 vx6 vy6 x7 y7 vx7 vy7 x8 y8 vx8 vy8 x9 y9 vx9 vy9 x10 y10 vx10 vy10 x11 y11 vx11 vy11 x12 y12 vx12 vy12 x13 y13 vx13 vy13 x14 y14 vx14 vy14 x15 y15 vx15 vy15 x16 y16 vx16 vy16 x17 y17 vx17 vy17 x18 y18 vx18 vy18 x19 y19 vx19 vy19 x20 y20 vx20 vy20 x21 y21 vx21 vy21 x22 y22 vx22 vy22 x23 y23 vx23 vy23 x24 y24 vx24 vy24
0 1.66667 1.66667 0.0583055 -0.830255 3.33333 1.66667 0.475099 0.825807 5 1.66667 0.953374 0.00683225 6.66667 1.66667 0.510261 -0.125916 8.33333 1.66667 -0.0346468 0.453309 1.66667 3.33333 0.341788 0.137747 3.33333 3.33333 0.775745 -0.204195 5 3.33333 -0.898101 -0.927863 6.66667 3.33333 0.739753 -0.80722 8.33333 3.33333 -0.288757 -0.121586 1.66667 5 -0.647442 -0.349208 3.33333 5 -0.781471 -0.970702 5 5 0.873085 0.954654 6.66667 5 0.735691 -0.952865 8.33333 5 -0.560675 0.364936 1.66667 6.66667 0.730241 0.68954 3.33333 6.66667 -0.0309264 -0.085292 5 6.66667 0.0322038 0.5652 6.66667 6.66667 0.91335 0.164749 8.33333 6.66667 0.216373 0.219793 1.66667 8.33333 -0.742737 0.624342 3.33333 8.33333 0.099185 0.899326 5 8.33333 -0.902096 -0.975081 6.66667 8.33333 0.0221302 0.299021 8.33333 8.33333 0.526325 -0.459432
0.05 1.66958 1.62515 0.0583055 -0.830255 3.35709 1.70796 0.475099 0.825807 5.04767 1.66701 0.953374 0.00683225 6.69218 1.66037 0.510261 -0.125916 8.3316 1.68933 -0.0346468 0.453309 1.68376 3.34022 0.341788 0.137747 3.37212 3.32312 0.775745 -0.204195 4.95509 3.28694 -0.898101 -0.927863 6.70365 3.29297 0.739753 -0.80722 8.3189 3.32725 -0.288757 -0.121586 1.63429 4.98254 -0.647442 -0.349208 3.29426 4.95146 -0.781471 -0.970702 5.04365 5.04773 0.873085 0.954654 6.70345 4.95236 0.735691 -0.952865 8.3053 5.01825 -0.560675 0.364936 1.70318 6.70114 0.730241 0.68954 3.33179 6.6624 -0.0309264 -0.085292 5.00161 6.69493 0.0322038 0.5652 6.71233 6.6749 0.91335 0.164749 8.34415 6.67766 0.216373 0.219793 1.62953 8.36455 -0.742737 0.624342 3.33829 8.3783 0.099185 0.899326 4.9549 8.28458 -0.902096 -0.975081 6.66777 8.34828 0.0221302 0.299021 8.35965 8.31036 0.526325 -0.459432
0.1 1.6725 1.58364 0.0583055 -0.830255 3.38084 1.74925 0.475099 0.825807 5.09534 1.66735 0.953374 0.00683225 6.71769 1.65408 0.510261 -0.125916 8.32987 1.712 -0.0346468 0.453309 1.70085 3.34711 0.341788 0.137747 3.41091 3.31291 0.775745 -0.204195 4.91019 3.24055 -0.898101 -0.927863 6.74064 3.25261 0.739753 -0.80722 8.30446 3.32117 -0.288757 -0.121586 1.60192 4.96508 -0.647442 -0.349208 3.25519 4.90293 -0.781471 -0.970702 5.08731 5.09547 0.873085 0.954654 6.74024 4.90471 0.735691 -0.952865 8.27727 5.03649 -0.560675 0.364936 1.73969 6.73562 0.730241 0.68954 3.33024 6.65814 -0.0309264 -0.085292 5.00322 6.72319 0.0322038 0.5652 6.758 6.68314 0.91335 0.164749 8.35497 6.68865 0.216373 0.219793 1.59239 8.39577 -0.742737 0.624342 3.34325 8.42327 0.099185 0.899326 4.90979 8.23583 -0.902096 -0.975081 6.66888 8.36324 0.0221302 0.299021 8.38597 8.28739 0.526325 -0.459432
0.15 1.67541 1.54213 0.0583055 -0.830255 3.4046 1.79054 0.475099 0.825807 5.14301 1.66769 0.953374 0.00683225 6.74321 1.64778 0.510261 -0.125916 8.32814 1.73466 -0.0346468 0.453309 1.71793 3.354 0.341788 0.137747 3.4497 3.3027 0.775745 -0.204195 4.86528 3.19415 -0.898101 -0.927863 6.77763 3.21225 0.739753 -0.80722 8.29002 3.3151 -0.288757 -0.121586 1.56955 4.94762 -0.647442 -0.349208 3.21611 4.85439 -0.781471 -0.970702 5.13096 5.1432 0.873085 0.954654 6.77702 4.85707 0.735691 -0.952865 8.24923 5.05474 -0.560675 0.364936 1.7762 6.7701 0.730241 0.68954 3.32869 6.65387 -0.0309264 -0.085292 5.00483 6.75145 0.0322038 0.5652 6.80367 6.69138 0.91335 0.164749 8.36579 6.69964 0.216373 0.219793 1.55526 8.42698 -0.742737 0.624342 3.34821 8.46823 0.099185 0.899326 4.86469 8.18707 -0.902096 -0.975081 6.66999 8.37819 0.0221302 0.299021 8.41228 8.26442 0.526325 -0.459432
0.2 1.67833 1.50062 0.0583055 -0.830255 3.42835 1.83183 0.475099 0.825807 5.19067 1.66803 0.953374 0.00683225 6.76872 1.64148 0.510261 -0.125916 8.3264 1.75733 -0.0346468 0.453309 1.73502 3.36088 0.341788 0.137747 3.48848 3.29249 0.775745 -0.204195 4.82038 3.14776 -0.898101 -0.927863 6.81462 3.17189 0.739753 -0.80722 8.27558 3.30902 -0.288757 -0.121586 1.53718 4.93016 -0.647442 -0.349208 3.17704 4.80586 -0.781471 -0.970702 5.17462 5.19093 0.873085 0.954654 6.8138 4.80943 0.735691 -0.952865 8.2212 5.07299 -0.560675 0.364936 1.81271 6.80457 0.730241 0.68954 3.32715 6.64961 -0.0309264 -0.085292 5.00644 6.77971 0.0322038 0.5652 6.84934 6.69962 0.91335 0.164749 8.37661 6.71063 0.216373 0.219793 1.51812 8.4582 -0.742737 0.624342 3.35317 8.5132 0.099185 0.899326 4.81958 8.13832 -0.902096 -0.975081 6.67109 8.39314 0.0221302 0.299021 8.4386 8.24145 0.526325 -0.459432
0.25 1.68124 1.4591 0.0583055 -0.830255 3.45211 1.87312 0.475099 0.825807 5.23834 1.66837 0.953374 0.00683225 6.79423 1.63519 0.510261 -0.125916 8.32467 1.77999 -0.0346468 0.453309 1.75211 3.36777 0.341788 0.137747 3.52727 3.28228 0.775745 -0.204195 4.77547 3.10137 -0.898101 -0.927863 6.8516 3.13153 0.739753 -0.80722 8.26114 3.30294 -0.288757 -0.121586 1.50481 4.9127 -0.647442 -0.349208 3.13797 4.75732 -0.781471 -0.970702 5.21827 5.23866 0.873085 0.954654 6.85059 4.76178 0.735691 -0.952865 8.19316 5.09123 -0.560675 0.364936 1.84923 6.83905 0.730241 0.68954 3.3256 6.64534 -0.0309264 -0.085292 5.00805 6.80797 0.0322038 0.5652 6.895 6.70785 0.91335 0.164749 8.38743 6.72161 0.216373 0.219793 1.48098 8.48942 -0.742737 0.624342 3.35813 8.55816 0.099185 0.899326 4.77448 8.08956 -0.902096 -0.975081 6.6722 8.40809 0.0221302 0.299021 8.46491 8.21848 0.526325 -0.459432
0.3 1.68416 1.41759 0.0583055 -0.830255 3.47586 1.91441 0.475099 0.825807 5.28601 1.66872 0.953374 0.00683225 6.81974 1.62889 0.510261 -0.125916 8.32294 1.80266 -0.0346468 0.453309 1.7692 3.37466 0.341788 0.137747 3.56606 3.27207 0.775745 -0.204195 4.73057 3.05497 -0.898101 -0.927863 6.88859 3.09117 0.739753 -0.80722 8.24671 3.29686 -0.288757 -0.121586 1.47243 4.89524 -0.647442 -0.349208 3.09889 4.70879 -0.781471 -0.970702 5.26193 5.2864 0.873085 0.954654 6.88737 4.71414 0.735691 -0.952865 8.16513 5.10948 -0.560675 0.364936 1.88574 6.87353 0.730241 0.68954 3.32406 6.64108 -0.0309264 -0.085292 5.00966 6.83623 0.0322038 0.5652 6.94067 6.71609 0.91335 0.164749 8.39825 6.7326 0.216373 0.219793 1.44385 8.52064 -0.742737 0.624342 3.36309 8.60313 0.099185 0.899326 4.72937 8.04081 -0.902096 -0.975081 6.67331 8.42304 0.0221302 0.299021 8.49123 8.1955 0.526325 -0.459432
0.35 1.68707 1.37608 0.0583055 -0.830255 3.49962 1.9557 0.475099 0.825807 5.33368 1.66906 0.953374 0.00683225 6.84526 1.6226 0.510261 -0.125916 8.32121 1.82532 -0.0346468 0.453309 1.78629 3.38154 0.341788 0.137747 3.60484 3.26187 0.775745 -0.204195 4.68566 3.00858 -0.898101 -0.927863 6.92558 3.05081 0.739753 -0.80722 8.23227 3.29078 -0.288757 -0.121586 1.44006 4.87778 -0.647442 -0.349208 3.05982 4.66025 -0.781471 -0.970702 5.30558 5.33413 0.873085 0.954654 6.92416 4.6665 0.735691 -0.952865 8.1371 5.12773 -0.560675 0.364936 1.92225 6.90801 0.730241 0.68954 3.32251 6.63681 -0.0309264 -0.085292 5.01127 6.86449 0.0322038 0.5652 6.98634 6.72433 0.91335 0.164749 8.40906 6.74359 0.216373 0.219793 1.40671 8.55185 -0.742737 0.624342 3.36805 8.6481 0.099185 0.899326 4.68427 7.99205 -0.902096 -0.975081 6.67441 8.43799 0.0221302 0.299021 8.51755 8.17253 0.526325 -0.459432
0.4 1.68999 1.33456 0.0583055 -0.830255 3.52337 1.99699 0.475099 0.825807 5.38135 1.6694 0.953374 0.00683225 6.87077 1.6163 0.510261 -0.125916 8.31947 1.84799 -0.0346468 0.453309 1.80338 3.38843 0.341788 0.137747 3.64363 3.25166 0.775745 -0.204195 4.64076 2.96219 -0.898101 -0.927863 6.96257 3.01045 0.739753 -0.80722 8.21783 3.2847 -0.288757 -0.121586 1.40769 4.86032 -0.647442 -0.349208 3.02074 4.61172 -0.781471 -0.970702 5.34923 5.38186 0.873085 0.954654 6.96094 4.61885 0.735691 -0.952865 8.10906 5.14597 -0.560675 0.364936 1.95876 6.94248 0.730241 0.68954 3.32096 6.63255 -0.0309264 -0.085292 5.01288 6.89275 0.0322038 0.5652 7.03201 6.73257 0.91335 0.164749 8.41988 6.75458 0.216373 0.219793 1.36957 8.58307 -0.742737 0.624342 3.37301 8.69306 0.099185 0.899326 4.63916 7.9433 -0.902096 -0.975081 6.67552 8.45294 0.0221302 0.299021 8.54386 8.14956 0.526325 -0.459432
0.45 1.6929 1.29305 0.0583055 -0.830255 3.54713 2.03828 0.475099 0.825807 5.42902 1.66974 0.953374 0.00683225 6.89628 1.61 0.510261 -0.125916 8.31774 1.87066 -0.0346468 0.453309 1.82047 3.39532 0.341788 0.137747 3.68242 3.24145 0.775745 -0.204195 4.59585 2.91579 -0.898101 -0.927863 6.99956 2.97008 0.739753 -0.80722 8.20339 3.27862 -0.288757 -0.121586 1.37532 4.84286 -0.647442 -0.349208 2.98167 4.56318 -0.781471 -0.970702 5.39289 5.42959 0.873085 0.954654 6.99773 4.57121 0.735691 -0.952865 8.08103 5.16422 -0.560675 0.364936 1.99528 6.97696 0.730241 0.68954 3.31942 6.62829 -0.0309264 -0.085292 5.01449 6.92101 0.0322038 0.5652 7.07767 6.7408 0.91335 0.164749 8.4307 6.76557 0.216373 0.219793 1.33243 8.61429 -0.742737 0.624342 3.37797 8.73803 0.099185 0.899326 4.59406 7.89455 -0.902096 -0.975081 6.67663 8.46789 0.0221302 0.299021 8.57018 8.12659 0.526325 -0.459432
