# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 x3 y3 vx3 vy3 x4 y4 vx4 vy4 x5 y5 vx5 vy5 x6 y6 vx6 vy6 x7 y7 vx7 vy7 x8 y8 vx8 vy8 x9 y9 vx9 vy9 x10 y10 vx10 vy10 x11 y11 vx11 vy11 x12 y12 vx12 vy12 x13 y13 vx13 vy13 x14 y14 vx14 vy14 x15 y15 vx15 vy15 x16 y16 vx16 vy16 x17 y17 vx17 vy17 x18 y18 vx18 vy18 x19 y19 vx19 vy19 x20 y20 vx20 vy20 x21 y21 vx21 vy21 x22 y22 vx22 vy22 x23 y23 vx23 vy23 x24 y24 vx24 vy24 x25 y25 vx25 vy25 x26 y26 vx26 vy26 x27 y27 vx27 vy27 x28 y28 vx28 vy28 x29 y29 vx29 vy29 x30 y30 vx30 vy30 x31 y31 vx31 vy31 x32 y32 vx32 vy32 x33 y33 vx33 vy33 x34 y34 vx34 vy34 x35 y35 vx35 vy35 x36 y36 vx36 vy36 x37 y37 vx37 vy37 x38 y38 vx38 vy38 x39 y39 vx39 vy39 x40 y40 vx40 vy40 x41 y41 vx41 vy41 x42 y42 vx42 vy42 x43 y43 vx43 vy43 x44 y44 vx44 vy44 x45 y45 vx45 vy45 x46 y46 vx46 vy46 x47 y47 vx47 vy47 x48 y48 vx48 vy48 x49 y49 vx49 vy49
0 1.66667 1.875 0.796176 0.389837 3.33333 1.875 0.165455 -0.392539 5 1.875 1.21919 0.960096 6.66667 1.875 1.01609 -0.743218 8.33333 1.875 -0.0291406 -1.16146 10 1.875 -0.323244 -1.418 11.6667 1.875 -0.596443 1.04061 13.3333 1.875 -0.158768 0.92527 1.66667 3.75 -0.117112 0.79995 3.33333 3.75 0.172977 0.274426 5 3.75 -0.0520088 -1.20625 6.66667 3.75 1.41661 0.713398 8.33333 3.75 -0.876116 -0.712033 10 3.75 0.479052 0.782183 11.6667 3.75 -0.402634 0.320251 13.3333 3.75 -0.962659 -1.02374 1.66667 5.625 -0.658755 -1.46875 3.33333 5.625 1.40098 0.197402 5 5.625 -1.12324 -1.25579 6.66667 5.625 -0.72815 -0.610583 8.33333 5.625 0.125472 0.820782 10 5.625 -1.45013 -1.38184 11.6667 5.625 -0.691679 1.02438 13.3333 5.625 -0.103462 -0.587698 1.66667 7.5 -1.0689 -0.89193 3.33333 7.5 -0.989247 -0.0147552 5 7.5 1.27862 0.142722 6.66667 7.5 -1.03047 0.41256 8.33333 7.5 -1.46681 -0.699125 10 7.5 -1.21376 -1.27763 11.6667 7.5 0.957417 1.06197 13.3333 7.5 1.40655 -0.670028 1.66667 9.375 0.902284 1.35387 3.33333 9.375 0.519826 -1.47771 5 9.375 -1.45265 -0.155177 6.66667 9.375 -0.0886781 -0.0309867 8.33333 9.375 1.47165 0.269925 10 9.375 -1.12833 0.931959 11.6667 9.375 -0.245784 -0.503923 13.3333 9.375 -0.963518 -0.0672815 1.66667 11.25 0.112148 -0.805288 3.33333 11.25 0.141215 -0.401933 5 11.25 -0.46438 0.127117 6.66667 11.25 0.526636 0.341985 8.33333 11.25 -0.000334451 0.523756 10 11.25 0.130734 -0.103994 11.6667 11.25 0.612116 0.874047 13.3333 11.25 -1.39449 0.309792 1.66667 13.125 -1.11745 -1.29252 3.33333 13.125 -0.807571 0.692794
0.1 1.74628 1.91398 0.796176 0.389837 3.34988 1.83575 0.165455 -0.392539 5.12192 1.97101 1.21919 0.960096 6.76828 1.80068 1.01609 -0.743218 8.33042 1.75885 -0.0291406 -1.16146 9.96768 1.7332 -0.323244 -1.418 11.607 1.97906 -0.596443 1.04061 13.3175 1.96753 -0.158768 0.92527 1.65496 3.82999 -0.117112 0.79995 3.35063 3.77744 0.172977 0.274426 4.9948 3.62938 -0.0520088 -1.20625 6.80833 3.82134 1.41661 0.713398 8.24572 3.6788 -0.876116 -0.712033 10.0479 3.82822 0.479052 0.782183 11.6264 3.78203 -0.402634 0.320251 13.2371 3.64763 -0.962659 -1.02374 1.60079 5.47812 -0.658755 -1.46875 3.47343 5.64474 1.40098 0.197402 4.88768 5.49942 -1.12324 -1.25579 6.59385 5.56394 -0.72815 -0.610583 8.34588 5.70708 0.125472 0.820782 9.85499 5.48682 -1.45013 -1.38184 11.5975 5.72744 -0.691679 1.02438 13.323 5.56623 -0.103462 -0.587698 1.55978 7.41081 -1.0689 -0.89193 3.23441 7.49852 -0.989247 -0.0147552 5.12786 7.51427 1.27862 0.142722 6.56362 7.54126 -1.03047 0.41256 8.18665 7.43009 -1.46681 -0.699125 9.87862 7.37224 -1.21376 -1.27763 11.7624 7.6062 0.957417 1.06197 13.474 7.433 1.40655 -0.670028 1.7569 9.51039 0.902284 1.35387 3.38532 9.22723 0.519826 -1.47771 4.85473 9.35948 -1.45265 -0.155177 6.6578 9.3719 -0.0886781 -0.0309867 8.4805 9.40199 1.47165 0.269925 9.88717 9.4682 -1.12833 0.931959 11.6421 9.32461 -0.245784 -0.503923 13.237 9.36827 -0.963518 -0.0672815 1.67788 11.1695 0.112148 -0.805288 3.34745 11.2098 0.141215 -0.401933 4.95356 11.2627 -0.46438 0.127117 6.71933 11.2842 0.526636 0.341985 8.3333 11.3024 -0.000334451 0.523756 10.0131 11.2396 0.130734 -0.103994 11.7279 11.3374 0.612116 0.874047 13.1939 11.281 -1.39449 0.309792 1.55492 12.9957 -1.11745 -1.29252 3.25258 13.1943 -0.807571 0.692794
0.2 1.8259 1.95297 0.796176 0.389837 3.36642 1.79649 0.165455 -0.392539 5.24384 2.06702 1.21919 0.960096 6.86989 1.72636 1.01609 -0.743218 8.32751 1.64271 -0.0291406 -1.16146 9.93535 1.5914 -0.323244 -1.418 11.5474 2.08312 -0.596443 1.04061 13.3016 2.06005 -0.158768 0.92527 1.64324 3.90999 -0.117112 0.79995 3.36793 3.80489 0.172977 0.274426 4.9896 3.50875 -0.0520088 -1.20625 6.94999 3.89268 1.41661 0.713398 8.15811 3.60759 -0.876116 -0.712033 10.0958 3.90644 0.479052 0.782183 11.5861 3.81405 -0.402634 0.320251 13.1408 3.54525 -0.962659 -1.02374 1.53492 5.33125 -0.658755 -1.46875 3.61353 5.66448 1.40098 0.197402 4.77535 5.37384 -1.12324 -1.25579 6.52104 5.50288 -0.72815 -0.610583 8.35843 5.78916 0.125472 0.820782 9.70997 5.34863 -1.45013 -1.38184 11.5283 5.82988 -0.691679 1.02438 13.3126 5.50746 -0.103462 -0.587698 1.45289 7.32161 -1.0689 -0.89193 3.13548 7.49705 -0.989247 -0.0147552 5.25572 7.52854 1.27862 0.142722 6.46057 7.58251 -1.03047 0.41256 8.03997 7.36017 -1.46681 -0.699125 9.75725 7.24447 -1.21376 -1.27763 11.8582 7.71239 0.957417 1.06197 13.6146 7.36599 1.40655 -0.670028 1.84712 9.64577 0.902284 1.35387 3.4373 9.07946 0.519826 -1.47771 4.70947 9.34396 -1.45265 -0.155177 6.64893 9.3688 -0.0886781 -0.0309867 8.62766 9.42899 1.47165 0.269925 9.77433 9.56139 -1.12833 0.931959 11.6175 9.27422 -0.245784 -0.503923 13.1406 9.36154 -0.963518 -0.0672815 1.6891 11.0889 0.112148 -0.805288 3.36158 11.1696 0.141215 -0.401933 4.90712 11.2754 -0.46438 0.127117 6.77199 11.3184 0.526636 0.341985 8.33327 11.3548 -0.000334451 0.523756 10.0261 11.2292 0.130734 -0.103994 11.7891 11.4248 0.612116 0.874047 13.0544 11.312 -1.39449 0.309792 1.44318 12.8665 -1.11745 -1.29252 3.17182 13.2636 -0.807571 0.692794
0.3 1.90552 1.99195 0.796176 0.389837 3.38297 1.75724 0.165455 -0.392539 5.36576 2.16303 1.21919 0.960096 6.97149 1.65203 1.01609 -0.743218 8.32459 1.52656 -0.0291406 -1.16146 9.90303 1.4496 -0.323244 -1.418 11.4877 2.18718 -0.596443 1.04061 13.2857 2.15258 -0.158768 0.92527 1.63153 3.98998 -0.117112 0.79995 3.38523 3.83233 0.172977 0.274426 4.9844 3.38813 -0.0520088 -1.20625 7.09165 3.96402 1.41661 0.713398 8.0705 3.53639 -0.876116 -0.712033 10.1437 3.98465 0.479052 0.782183 11.5459 3.84608 -0.402634 0.320251 13.0445 3.44288 -0.962659 -1.02374 1.46904 5.18437 -0.658755 -1.46875 3.75363 5.68422 1.40098 0.197402 4.66303 5.24826 -1.12324 -1.25579 6.44822 5.44183 -0.72815 -0.610583 8.37097 5.87123 0.125472 0.820782 9.56496 5.21045 -1.45013 -1.38184 11.4592 5.93231 -0.691679 1.02438 13.3023 5.44869 -0.103462 -0.587698 1.346 7.23242 -1.0689 -0.89193 3.03656 7.49557 -0.989247 -0.0147552 5.38359 7.54282 1.27862 0.142722 6.35753 7.62377 -1.03047 0.41256 7.89329 7.29026 -1.46681 -0.699125 9.63587 7.11671 -1.21376 -1.27763 11.9539 7.81859 0.957417 1.06197 13.7553 7.29899 1.40655 -0.670028 1.93735 9.78116 0.902284 1.35387 3.48928 8.93169 0.519826 -1.47771 4.5642 9.32845 -1.45265 -0.155177 6.64006 9.3657 -0.0886781 -0.0309867 8.77483 9.45598 1.47165 0.269925 9.6615 9.65459 -1.12833 0.931959 11.5929 9.22382 -0.245784 -0.503923 13.0443 9.35482 -0.963518 -0.0672815 1.70031 11.0084 0.112148 -0.805288 3.3757 11.1294 0.141215 -0.401933 4.86069 11.2881 -0.46438 0.127117 6.82466 11.3526 0.526636 0.341985 8.33323 11.4071 -0.000334451 0.523756 10.0392 11.2188 0.130734 -0.103994 11.8503 11.5122 0.612116 0.874047 12.915 11.3429 -1.39449 0.309792 1.33143 12.7372 -1.11745 -1.29252 3.09106 13.3328 -0.807571 0.692794
0.4 1.98514 2.03093 0.796176 0.389837 3.39952 1.71798 0.165455 -0.392539 5.48768 2.25904 1.21919 0.960096 7.0731 1.57771 1.01609 -0.743218 8.32168 1.41042 -0.0291406 -1.16146 9.8707 1.3078 -0.323244 -1.418 11.4281 2.29124 -0.596443 1.04061 13.2698 2.24511 -0.158768 0.92527 1.61982 4.06998 -0.117112 0.79995 3.40252 3.85977 0.172977 0.274426 4.9792 3.2675 -0.0520088 -1.20625 7.23331 4.03536 1.41661 0.713398 7.98289 3.46519 -0.876116 -0.712033 10.1916 4.06287 0.479052 0.782183 11.5056 3.8781 -0.402634 0.320251 12.9483 3.3405 -0.962659 -1.02374 1.40316 5.0375 -0.658755 -1.46875 3.89373 5.70396 1.40098 0.197402 4.5507 5.12269 -1.12324 -1.25579 6.37541 5.38077 -0.72815 -0.610583 8.38352 5.95331 0.125472 0.820782 9.41995 5.07226 -1.45013 -1.38184 11.39 6.03475 -0.691679 1.02438 13.2919 5.38992 -0.103462 -0.587698 1.23911 7.14323 -1.0689 -0.89193 2.93763 7.4941 -0.989247 -0.0147552 5.51145 7.55709 1.27862 0.142722 6.25448 7.66502 -1.03047 0.41256 7.74661 7.22035 -1.46681 -0.699125 9.5145 6.98895 -1.21376 -1.27763 12.0496 7.92479 0.957417 1.06197 13.896 7.23199 1.40655 -0.670028 2.02758 9.91655 0.902284 1.35387 3.54126 8.78391 0.519826 -1.47771 4.41894 9.31293 -1.45265 -0.155177 6.6312 9.36261 -0.0886781 -0.0309867 8.92199 9.48297 1.47165 0.269925 9.54867 9.74778 -1.12833 0.931959 11.5684 9.17343 -0.245784 -0.503923 12.9479 9.34809 -0.963518 -0.0672815 1.71153 10.9279 0.112148 -0.805288 3.38982 11.0892 0.141215 -0.401933 4.81425 11.3008 -0.46438 0.127117 6.87732 11.3868 0.526636 0.341985 8.3332 11.4595 -0.000334451 0.523756 10.0523 11.2084 0.130734 -0.103994 11.9115 11.5996 0.612116 0.874047 12.7755 11.3739 -1.39449 0.309792 1.21969 12.608 -1.11745 -1.29252 3.0103 13.4021 -0.807571 0.692794
0.5 2.06475 2.06992 0.796176 0.389837 3.41606 1.67873 0.165455 -0.392539 5.6096 2.35505 1.21919 0.960096 7.17471 1.50339 1.01609 -0.743218 8.31876 1.29427 -0.0291406 -1.16146 9.83838 1.166 -0.323244 -1.418 11.3684 2.3953 -0.596443 1.04061 13.2539 2.33763 -0.158768 0.92527 1.60811 4.14997 -0.117112 0.79995 3.41982 3.88721 0.172977 0.274426 4.974 3.14688 -0.0520088 -1.20625 7.37497 4.1067 1.41661 0.713398 7.89528 3.39398 -0.876116 -0.712033 10.2395 4.14109 0.479052 0.782183 11.4653 3.91013 -0.402634 0.320251 12.852 3.23813 -0.962659 -1.02374 1.33729 4.89062 -0.658755 -1.46875 4.03383 5.7237 1.40098 0.197402 4.43838 4.99711 -1.12324 -1.25579 6.30259 5.31971 -0.72815 -0.610583 8.39607 6.03539 0.125472 0.820782 9.27493 4.93408 -1.45013 -1.38184 11.3208 6.13719 -0.691679 1.02438 13.2816 5.33115 -0.103462 -0.587698 1.13222 7.05403 -1.0689 -0.89193 2.83871 7.49262 -0.989247 -0.0147552 5.63931 7.57136 1.27862 0.142722 6.15143 7.70628 -1.03047 0.41256 7.59993 7.15044 -1.46681 -0.699125 9.39312 6.86118 -1.21376 -1.27763 12.1454 8.03099 0.957417 1.06197 14.0366 7.16499 1.40655 -0.670028 2.11781 10.0519 0.902284 1.35387 3.59325 8.63614 0.519826 -1.47771 4.27367 9.29741 -1.45265 -0.155177 6.62233 9.35951 -0.0886781 -0.0309867 9.06916 9.50996 1.47165 0.269925 9.43584 9.84098 -1.12833 0.931959 11.5438 9.12304 -0.245784 -0.503923 12.8516 9.34136 -0.963518 -0.0672815 1.72274 10.8474 0.112148 -0.805288 3.40394 11.049 0.141215 -0.401933 4.76781 11.3136 -0.46438 0.127117 6.92998 11.421 0.526636 0.341985 8.33317 11.5119 -0.000334451 0.523756 10.0654 11.198 0.130734 -0.103994 11.9727 11.687 0.612116 0.874047 12.6361 11.4049 -1.39449 0.309792 1.10794 12.4787 -1.11745 -1.29252 2.92955 13.4714 -0.807571 0.692794
0.6 2.14437 2.1089 0.796176 0.389837 3.43261 1.63948 0.165455 -0.392539 5.73152 2.45106 1.21919 0.960096 7.27632 1.42907 1.01609 -0.743218 8.31585 1.17813 -0.0291406 -1.16146 9.80605 1.0242 -0.323244 -1.418 11.3088 2.49937 -0.596443 1.04061 13.2381 2.43016 -0.158768 0.92527 1.5964 4.22997 -0.117112 0.79995 3.43712 3.91466 0.172977 0.274426 4.96879 3.02625 -0.0520088 -1.20625 7.51663 4.17804 1.41661 0.713398 7.80766 3.32278 -0.876116 -0.712033 10.2874 4.21931 0.479052 0.782183 11.4251 3.94215 -0.402634 0.320251 12.7557 3.13576 -0.962659 -1.02374 1.27141 4.74375 -0.658755 -1.46875 4.17392 5.74344 1.40098 0.197402 4.32606 4.87153 -1.12324 -1.25579 6.22978 5.25865 -0.72815 -0.610583 8.40862 6.11747 0.125472 0.820782 9.12992 4.79589 -1.45013 -1.38184 11.2517 6.23963 -0.691679 1.02438 13.2713 5.27238 -0.103462 -0.587698 1.02533 6.96484 -1.0689 -0.89193 2.73979 7.49115 -0.989247 -0.0147552 5.76717 7.58563 1.27862 0.142722 6.04839 7.74754 -1.03047 0.41256 7.45325 7.08052 -1.46681 -0.699125 9.27174 6.73342 -1.21376 -1.27763 12.2411 8.13718 0.957417 1.06197 14.1773 7.09798 1.40655 -0.670028 2.20804 10.1873 0.902284 1.35387 3.64523 8.48837 0.519826 -1.47771 4.12841 9.28189 -1.45265 -0.155177 6.61346 9.35641 -0.0886781 -0.0309867 9.21632 9.53696 1.47165 0.269925 9.323 9.93418 -1.12833 0.931959 11.5192 9.07265 -0.245784 -0.503923 12.7552 9.33463 -0.963518 -0.0672815 1.73396 10.7668 0.112148 -0.805288 3.41806 11.0088 0.141215 -0.401933 4.72137 11.3263 -0.46438 0.127117 6.98265 11.4552 0.526636 0.341985 8.33313 11.5643 -0.000334451 0.523756 10.0784 11.1876 0.130734 -0.103994 12.0339 11.7744 0.612116 0.874047 12.4966 11.4359 -1.39449 0.309792 0.996197 12.3495 -1.11745 -1.29252 2.84879 13.5407 -0.807571 0.692794
0.7 2.22399 2.14789 0.796176 0.389837 3.44915 1.60022 0.165455 -0.392539 5.85344 2.54707 1.21919 0.960096 7.37793 1.35475 1.01609 -0.743218 8.31293 1.06198 -0.0291406 -1.16146 9.77373 0.882397 -0.323244 -1.418 11.2492 2.60343 -0.596443 1.04061 13.2222 2.52269 -0.158768 0.92527 1.58469 4.30996 -0.117112 0.79995 3.45442 3.9421 0.172977 0.274426 4.96359 2.90563 -0.0520088 -1.20625 7.65829 4.24938 1.41661 0.713398 7.72005 3.25158 -0.876116 -0.712033 10.3353 4.29753 0.479052 0.782183 11.3848 3.97418 -0.402634 0.320251 12.6595 3.03338 -0.962659 -1.02374 1.20554 4.59687 -0.658755 -1.46875 4.31402 5.76318 1.40098 0.197402 4.21373 4.74595 -1.12324 -1.25579 6.15696 5.19759 -0.72815 -0.610583 8.42116 6.19955 0.125472 0.820782 8.98491 4.65771 -1.45013 -1.38184 11.1825 6.34206 -0.691679 1.02438 13.2609 5.21361 -0.103462 -0.587698 0.91844 6.87565 -1.0689 -0.89193 2.64086 7.48967 -0.989247 -0.0147552 5.89313 7.5949 1.07542 -0.390285 5.94725 7.7938 -0.827266 0.945567 7.30657 7.01061 -1.46681 -0.699125 9.15037 6.60566 -1.21376 -1.27763 12.3369 8.24338 0.957417 1.06197 14.3179 7.03098 1.40655 -0.670028 2.29827 10.3227 0.902284 1.35387 3.69721 8.3406 0.519826 -1.47771 3.98314 9.26638 -1.45265 -0.155177 6.60459 9.35331 -0.0886781 -0.0309867 9.36349 9.56395 1.47165 0.269925 9.21017 10.0274 -1.12833 0.931959 11.4946 9.02225 -0.245784 -0.503923 12.6589 9.3279 -0.963518 -0.0672815 1.74517 10.6863 0.112148 -0.805288 3.43218 10.9686 0.141215 -0.401933 4.67493 11.339 -0.46438 0.127117 7.03531 11.4894 0.526636 0.341985 8.3331 11.6166 -0.000334451 0.523756 10.0915 11.1772 0.130734 -0.103994 12.0951 11.8618 0.612116 0.874047 12.3572 11.4669 -1.39449 0.309792 0.884453 12.2202 -1.11745 -1.29252 2.76803 13.61 -0.807571 0.692794
0.8 2.30361 2.18687 0.796176 0.389837 3.4657 1.56097 0.165455 -0.392539 5.97535 2.64308 1.21919 0.960096 7.47954 1.28043 1.01609 -0.743218 8.31002 0.945834 -0.0291406 -1.16146 9.74141 0.740596 -0.323244 -1.418 11.1895 2.70749 -0.596443 1.04061 13.2063 2.61522 -0.158768 0.92527 1.57298 4.38996 -0.117112 0.79995 3.47171 3.96954 0.172977 0.274426 4.95839 2.785 -0.0520088 -1.20625 7.79996 4.32072 1.41661 0.713398 7.63244 3.18037 -0.876116 -0.712033 10.3832 4.37575 0.479052 0.782183 11.3446 4.0062 -0.402634 0.320251 12.5632 2.93101 -0.962659 -1.02374 1.13966 4.45 -0.658755 -1.46875 4.45412 5.78292 1.40098 0.197402 4.10141 4.62037 -1.12324 -1.25579 6.08415 5.13653 -0.72815 -0.610583 8.43371 6.28163 0.125472 0.820782 8.83989 4.51952 -1.45013 -1.38184 11.1133 6.4445 -0.691679 1.02438 13.2506 5.15484 -0.103462 -0.587698 0.81155 6.78646 -1.0689 -0.89193 2.54194 7.4882 -0.989247 -0.0147552 6.00067 7.55587 1.07542 -0.390285 5.86452 7.88836 -0.827266 0.945567 7.15989 6.9407 -1.46681 -0.699125 9.02899 6.4779 -1.21376 -1.27763 12.4326 8.34958 0.957417 1.06197 14.4586 6.96398 1.40655 -0.670028 2.38849 10.4581 0.902284 1.35387 3.74919 8.19283 0.519826 -1.47771 3.83788 9.25086 -1.45265 -0.155177 6.59572 9.35021 -0.0886781 -0.0309867 9.51065 9.59094 1.47165 0.269925 9.09734 10.1206 -1.12833 0.931959 11.47 8.97186 -0.245784 -0.503923 12.5625 9.32117 -0.963518 -0.0672815 1.75638 10.6058 0.112148 -0.805288 3.44631 10.9285 0.141215 -0.401933 4.6285 11.3517 -0.46438 0.127117 7.08798 11.5236 0.526636 0.341985 8.33307 11.669 -0.000334451 0.523756 10.1046 11.1668 0.130734 -0.103994 12.1564 11.9492 0.612116 0.874047 12.2177 11.4978 -1.39449 0.309792 0.772708 12.091 -1.11745 -1.29252 2.68728 13.6792 -0.807571 0.692794
0.9 2.38323 2.22585 0.796176 0.389837 3.48224 1.52172 0.165455 -0.392539 6.09727 2.73909 1.21919 0.960096 7.58115 1.2061 1.01609 -0.743218 8.30711 0.829688 -0.0291406 -1.16146 9.70908 0.598796 -0.323244 -1.418 11.1299 2.81155 -0.596443 1.04061 13.1904 2.70774 -0.158768 0.92527 1.56127 4.46995 -0.117112 0.79995 3.48901 3.99698 0.172977 0.274426 4.95319 2.66438 -0.0520088 -1.20625 7.94162 4.39206 1.41661 0.713398 7.54483 3.10917 -0.876116 -0.712033 10.4311 4.45396 0.479052 0.782183 11.3043 4.03823 -0.402634 0.320251 12.4669 2.82863 -0.962659 -1.02374 1.07379 4.30312 -0.658755 -1.46875 4.59422 5.80266 1.40098 0.197402 3.98909 4.49479 -1.12324 -1.25579 6.01133 5.07548 -0.72815 -0.610583 8.44626 6.3637 0.125472 0.820782 8.69488 4.38134 -1.45013 -1.38184 11.0442 6.54694 -0.691679 1.02438 13.2402 5.09607 -0.103462 -0.587698 0.704661 6.69726 -1.0689 -0.89193 2.44301 7.48672 -0.989247 -0.0147552 6.10821 7.51684 1.07542 -0.390285 5.7818 7.98291 -0.827266 0.945567 7.01321 6.87079 -1.46681 -0.699125 8.90761 6.35013 -1.21376 -1.27763 12.5283 8.45577 0.957417 1.06197 14.5992 6.89697 1.40655 -0.670028 2.47872 10.5935 0.902284 1.35387 3.80118 8.04506 0.519826 -1.47771 3.69261 9.23534 -1.45265 -0.155177 6.58686 9.34711 -0.0886781 -0.0309867 9.65782 9.61793 1.47165 0.269925 8.98451 10.2138 -1.12833 0.931959 11.4455 8.92147 -0.245784 -0.503923 12.4662 9.31445 -0.963518 -0.0672815 1.7676 10.5252 0.112148 -0.805288 3.46043 10.8883 0.141215 -0.401933 4.58206 11.3644 -0.46438 0.127117 7.14064 11.5578 0.526636 0.341985 8.33303 11.7214 -0.000334451 0.523756 10.1177 11.1564 0.130734 -0.103994 12.2176 12.0366 0.612116 0.874047 12.0783 11.5288 -1.39449 0.309792 0.660963 11.9617 -1.11745 -1.29252 2.60652 13.7485 -0.807571 0.692794
