# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 x3 y3 vx3 vy3 x4 y4 vx4 vy4 x5 y5 vx5 vy5 x6 y6 vx6 vy6 x7 y7 vx7 vy7 x8 y8 vx8 vy8 x9 y9 vx9 vy9 x10 y10 vx10 vy10 x11 y11 vx11 vy11 x12 y12 vx12 vy12 x13 y13 vx13 vy13 x14 y14 vx14 vy14 x15 y15 vx15 vy15 x16 y16 vx16 vy16 x17 y17 vx17 vy17 x18 y18 vx18 vy18 x19 y19 vx19 vy19 x20 y20 vx20 vy20 x21 y21 vx21 vy21 x22 y22 vx22 vy22 x23 y23 vx23 vy23 x24 y24 vx24 vy24 x25 y25 vx25 vy25 x26 y26 vx26 vy26 x27 y27 vx27 vy27 x28 y28 vx28 vy28 x29 y29 vx29 vy29 x30 y30 vx30 vy30 x31 y31 vx31 vy31 x32 y32 vx32 vy32 x33 y33 vx33 vy33 x34 y34 vx34 vy34 x35 y35 vx35 vy35 x36 y36 vx36 vy36 x37 y37 vx37 vy37 x38 y38 vx38 vy38 x39 y39 vx39 vy39 x40 y40 vx40 vy40 x41 y41 vx41 vy41 x42 y42 vx42 vy42 x43 y43 vx43 vy43 x44 y44 vx44 vy44 x45 y45 vx45 vy45 x46 y46 vx46 vy46 x47 y47 vx47 vy47 x48 y48 vx48 vy48 x49 y49 vx49 vy49
0 1.11111 1.25 0.943067 -1.42634 2.22222 1.25 -1.10309 0.877268 3.33333 1.25 -0.938901 -0.594696 4.44444 1.25 0.201898 1.20696 5.55556 1.25 0.864463 1.48862 6.66667 1.25 0.315935 0.733748 7.77778 1.25 -0.553804 -0.460459 8.88889 1.25 -0.262244 -0.65711 1.11111 2.5 -0.45126 -0.162221 2.22222 2.5 -0.650081 -1.4315 3.33333 2.5 -0.847737 1.23852 4.44444 2.5 -0.587348 1.16398 5.55556 2.5 1.31808 -0.0627696 6.66667 2.5 0.26963 1.10703 7.77778 2.5 -0.637184 -1.36209 8.88889 2.5 -0.619999 -0.996974 1.11111 3.75 1.05275 1.09302 2.22222 3.75 -0.658259 0.731722 3.33333 3.75 -0.237277 0.935403 4.44444 3.75 0.571347 -0.537124 5.55556 3.75 0.366433 -1.35689 6.66667 3.75 -0.435786 -1.07852 7.77778 3.75 -1.24705 0.0772182 8.88889 3.75 0.376551 -0.0205107 1.11111 5 0.197517 0.903147 2.22222 5 0.855163 0.875127 3.33333 5 1.09151 -0.998083 4.44444 5 0.811919 -0.0561286 5.55556 5 -0.335482 0.0346526 6.66667 5 -0.684855 -0.274766 7.77778 5 -1.33352 -0.268131 8.88889 5 1.36262 -0.798526 1.11111 6.25 -0.504688 0.771424 2.22222 6.25 0.107001 1.23495 3.33333 6.25 0.806238 0.808165 4.44444 6.25 -0.120932 -0.037069 5.55556 6.25 -0.525926 1.40833 6.66667 6.25 -0.225921 -0.113974 7.77778 6.25 0.545303 -0.260062 8.88889 6.25 -0.048043 -1.27828 1.11111 7.5 -0.316064 -0.394202 2.22222 7.5 -0.799895 0.762524 3.33333 7.5 -0.316004 0.402798 4.44444 7.5 0.269566 -0.685199 5.55556 7.5 0.727489 -0.273298 6.66667 7.5 0.0873473 0.132446 7.77778 7.5 -0.546123 -1.28765 8.88889 7.5 -0.113573 0.97869 1.11111 8.75 0.140644 0.185829 2.22222 8.75 -1.14538 -1.27127
0.05 1.15826 1.17868 0.943067 -1.42634 2.16707 1.29386 -1.10309 0.877268 3.28639 1.22027 -0.938901 -0.594696 4.45454 1.31035 0.201898 1.20696 5.59878 1.32443 0.864463 1.48862 6.68246 1.28669 0.315935 0.733748 7.75009 1.22698 -0.553804 -0.460459 8.87578 1.21714 -0.262244 -0.65711 1.08855 2.49189 -0.45126 -0.162221 2.18972 2.42842 -0.650081 -1.4315 3.29095 2.56193 -0.847737 1.23852 4.41508 2.5582 -0.587348 1.16398 5.62146 2.49686 1.31808 -0.0627696 6.68015 2.55535 0.26963 1.10703 7.74592 2.4319 -0.637184 -1.36209 8.85789 2.45015 -0.619999 -0.996974 1.16375 3.80465 1.05275 1.09302 2.18931 3.78659 -0.658259 0.731722 3.32147 3.79677 -0.237277 0.935403 4.47301 3.72314 0.571347 -0.537124 5.57388 3.68216 0.366433 -1.35689 6.64488 3.69607 -0.435786 -1.07852 7.71543 3.75386 -1.24705 0.0772182 8.90772 3.74897 0.376551 -0.0205107 1.12099 5.04516 0.197517 0.903147 2.26498 5.04376 0.855163 0.875127 3.38791 4.9501 1.09151 -0.998083 4.48504 4.99719 0.811919 -0.0561286 5.53878 5.00173 -0.335482 0.0346526 6.63242 4.98626 -0.684855 -0.274766 7.7111 4.98659 -1.33352 -0.268131 8.95702 4.96007 1.36262 -0.798526 1.08588 6.28857 -0.504688 0.771424 2.22757 6.31175 0.107001 1.23495 3.37365 6.29041 0.806238 0.808165 4.4384 6.24815 -0.120932 -0.037069 5.52926 6.32042 -0.525926 1.40833 6.65537 6.2443 -0.225921 -0.113974 7.80504 6.237 0.545303 -0.260062 8.88649 6.18609 -0.048043 -1.27828 1.09531 7.48029 -0.316064 -0.394202 2.18223 7.53813 -0.799895 0.762524 3.31753 7.52014 -0.316004 0.402798 4.45792 7.46574 0.269566 -0.685199 5.59193 7.48634 0.727489 -0.273298 6.67103 7.50662 0.0873473 0.132446 7.75047 7.43562 -0.546123 -1.28765 8.88321 7.54893 -0.113573 0.97869 1.11814 8.75929 0.140644 0.185829 2.16495 8.68644 -1.14538 -1.27127
0.1 1.20542 1.10737 0.943067 -1.42634 2.11191 1.33773 -1.10309 0.877268 3.23944 1.19053 -0.938901 -0.594696 4.46463 1.3707 0.201898 1.20696 5.642 1.39886 0.864463 1.48862 6.69826 1.32337 0.315935 0.733748 7.7224 1.20395 -0.553804 -0.460459 8.86266 1.18429 -0.262244 -0.65711 1.06599 2.48378 -0.45126 -0.162221 2.15721 2.35685 -0.650081 -1.4315 3.24856 2.62385 -0.847737 1.23852 4.38571 2.6164 -0.587348 1.16398 5.68736 2.49372 1.31808 -0.0627696 6.69363 2.6107 0.26963 1.10703 7.71406 2.36379 -0.637184 -1.36209 8.82689 2.4003 -0.619999 -0.996974 1.21639 3.8593 1.05275 1.09302 2.1564 3.82317 -0.658259 0.731722 3.30961 3.84354 -0.237277 0.935403 4.50158 3.69629 0.571347 -0.537124 5.5922 3.61431 0.366433 -1.35689 6.62309 3.64215 -0.435786 -1.07852 7.65307 3.75772 -1.24705 0.0772182 8.92654 3.74795 0.376551 -0.0205107 1.13086 5.09031 0.197517 0.903147 2.30774 5.08751 0.855163 0.875127 3.44248 4.90019 1.09151 -0.998083 4.52564 4.99439 0.811919 -0.0561286 5.52201 5.00347 -0.335482 0.0346526 6.59818 4.97252 -0.684855 -0.274766 7.64443 4.97319 -1.33352 -0.268131 9.02515 4.92015 1.36262 -0.798526 1.06064 6.32714 -0.504688 0.771424 2.23292 6.37349 0.107001 1.23495 3.41396 6.33082 0.806238 0.808165 4.43235 6.24629 -0.120932 -0.037069 5.50296 6.39083 -0.525926 1.40833 6.64407 6.2386 -0.225921 -0.113974 7.83231 6.22399 0.545303 -0.260062 8.88408 6.12217 -0.048043 -1.27828 1.0795 7.46058 -0.316064 -0.394202 2.14223 7.57625 -0.799895 0.762524 3.30173 7.54028 -0.316004 0.402798 4.4714 7.43148 0.269566 -0.685199 5.6283 7.47267 0.727489 -0.273298 6.6754 7.51324 0.0873473 0.132446 7.72317 7.37124 -0.546123 -1.28765 8.87753 7.59787 -0.113573 0.97869 1.12518 8.76858 0.140644 0.185829 2.10768 8.62287 -1.14538 -1.27127
0.15 1.25257 1.03605 0.943067 -1.42634 2.05676 1.38159 -1.10309 0.877268 3.1925 1.1608 -0.938901 -0.594696 4.47473 1.43104 0.201898 1.20696 5.68523 1.47329 0.864463 1.48862 6.71406 1.36006 0.315935 0.733748 7.69471 1.18093 -0.553804 -0.460459 8.84955 1.15143 -0.262244 -0.65711 1.04342 2.47567 -0.45126 -0.162221 2.12471 2.28527 -0.650081 -1.4315 3.20617 2.68578 -0.847737 1.23852 4.35634 2.6746 -0.587348 1.16398 5.75327 2.49058 1.31808 -0.0627696 6.70711 2.66605 0.26963 1.10703 7.6822 2.29569 -0.637184 -1.36209 8.79589 2.35045 -0.619999 -0.996974 1.26902 3.91395 1.05275 1.09302 2.12348 3.85976 -0.658259 0.731722 3.29774 3.89031 -0.237277 0.935403 4.53015 3.66943 0.571347 -0.537124 5.61052 3.54647 0.366433 -1.35689 6.6013 3.58822 -0.435786 -1.07852 7.59072 3.76158 -1.24705 0.0772182 8.94537 3.74692 0.376551 -0.0205107 1.14074 5.13547 0.197517 0.903147 2.3505 5.13127 0.855163 0.875127 3.49706 4.85029 1.09151 -0.998083 4.56623 4.99158 0.811919 -0.0561286 5.50523 5.0052 -0.335482 0.0346526 6.56394 4.95879 -0.684855 -0.274766 7.57775 4.95978 -1.33352 -0.268131 9.09328 4.88022 1.36262 -0.798526 1.03541 6.36571 -0.504688 0.771424 2.23827 6.43524 0.107001 1.23495 3.45427 6.37122 0.806238 0.808165 4.4263 6.24444 -0.120932 -0.037069 5.47667 6.46125 -0.525926 1.40833 6.63278 6.2329 -0.225921 -0.113974 7.85957 6.21099 0.545303 -0.260062 8.88168 6.05826 -0.048043 -1.27828 1.0637 7.44087 -0.316064 -0.394202 2.10224 7.61438 -0.799895 0.762524 3.28593 7.56042 -0.316004 0.402798 4.48488 7.39722 0.269566 -0.685199 5.66468 7.45901 0.727489 -0.273298 6.67977 7.51987 0.0873473 0.132446 7.69586 7.30685 -0.546123 -1.28765 8.87185 7.6468 -0.113573 0.97869 1.13221 8.77787 0.140644 0.185829 2.05041 8.55931 -1.14538 -1.27127
0.2 1.29972 0.964732 0.943067 -1.42634 2.0016 1.42545 -1.10309 0.877268 3.14555 1.13106 -0.938901 -0.594696 4.48482 1.49139 0.201898 1.20696 5.72845 1.54772 0.864463 1.48862 6.72985 1.39675 0.315935 0.733748 7.66702 1.15791 -0.553804 -0.460459 8.83644 1.11858 -0.262244 -0.65711 1.02086 2.46756 -0.45126 -0.162221 2.09221 2.2137 -0.650081 -1.4315 3.16379 2.7477 -0.847737 1.23852 4.32697 2.7328 -0.587348 1.16398 5.81917 2.48745 1.31808 -0.0627696 6.72059 2.72141 0.26963 1.10703 7.65034 2.22758 -0.637184 -1.36209 8.76489 2.30061 -0.619999 -0.996974 1.32166 3.9686 1.05275 1.09302 2.09057 3.89634 -0.658259 0.731722 3.28588 3.93708 -0.237277 0.935403 4.55871 3.64258 0.571347 -0.537124 5.62884 3.47862 0.366433 -1.35689 6.57951 3.5343 -0.435786 -1.07852 7.52837 3.76544 -1.24705 0.0772182 8.9642 3.7459 0.376551 -0.0205107 1.15061 5.18063 0.197517 0.903147 2.39325 5.17503 0.855163 0.875127 3.55164 4.80038 1.09151 -0.998083 4.60683 4.98877 0.811919 -0.0561286 5.48846 5.00693 -0.335482 0.0346526 6.5297 4.94505 -0.684855 -0.274766 7.51107 4.94637 -1.33352 -0.268131 9.16141 4.84029 1.36262 -0.798526 1.01017 6.40428 -0.504688 0.771424 2.24362 6.49699 0.107001 1.23495 3.49458 6.41163 0.806238 0.808165 4.42026 6.24259 -0.120932 -0.037069 5.45037 6.53167 -0.525926 1.40833 6.62148 6.22721 -0.225921 -0.113974 7.88684 6.19799 0.545303 -0.260062 8.87928 5.99434 -0.048043 -1.27828 1.0479 7.42116 -0.316064 -0.394202 2.06224 7.6525 -0.799895 0.762524 3.27013 7.58056 -0.316004 0.402798 4.49836 7.36296 0.269566 -0.685199 5.70105 7.44534 0.727489 -0.273298 6.68414 7.52649 0.0873473 0.132446 7.66855 7.24247 -0.546123 -1.28765 8.86617 7.69574 -0.113573 0.97869 1.13924 8.78717 0.140644 0.185829 1.99315 8.49575 -1.14538 -1.27127
0.25 1.34688 0.893415 0.943067 -1.42634 1.94645 1.46932 -1.10309 0.877268 3.09861 1.10133 -0.938901 -0.594696 4.49492 1.55174 0.201898 1.20696 5.77167 1.62215 0.864463 1.48862 6.74565 1.43344 0.315935 0.733748 7.63933 1.13489 -0.553804 -0.460459 8.82333 1.08572 -0.262244 -0.65711 0.998296 2.45944 -0.45126 -0.162221 2.0597 2.14212 -0.650081 -1.4315 3.1214 2.80963 -0.847737 1.23852 4.29761 2.791 -0.587348 1.16398 5.88508 2.48431 1.31808 -0.0627696 6.73407 2.77676 0.26963 1.10703 7.61848 2.15948 -0.637184 -1.36209 8.73389 2.25076 -0.619999 -0.996974 1.3743 4.02326 1.05275 1.09302 2.05766 3.93293 -0.658259 0.731722 3.27401 3.98385 -0.237277 0.935403 4.58728 3.61572 0.571347 -0.537124 5.64716 3.41078 0.366433 -1.35689 6.55772 3.48037 -0.435786 -1.07852 7.46602 3.7693 -1.24705 0.0772182 8.98303 3.74487 0.376551 -0.0205107 1.16049 5.22579 0.197517 0.903147 2.43601 5.21878 0.855163 0.875127 3.60621 4.75048 1.09151 -0.998083 4.64742 4.98597 0.811919 -0.0561286 5.47168 5.00866 -0.335482 0.0346526 6.49545 4.93131 -0.684855 -0.274766 7.4444 4.93297 -1.33352 -0.268131 9.22954 4.80037 1.36262 -0.798526 0.984939 6.44286 -0.504688 0.771424 2.24897 6.55874 0.107001 1.23495 3.53489 6.45204 0.806238 0.808165 4.41421 6.24073 -0.120932 -0.037069 5.42407 6.60208 -0.525926 1.40833 6.61019 6.22151 -0.225921 -0.113974 7.9141 6.18498 0.545303 -0.260062 8.87688 5.93043 -0.048043 -1.27828 1.0321 7.40145 -0.316064 -0.394202 2.02225 7.69063 -0.799895 0.762524 3.25433 7.6007 -0.316004 0.402798 4.51184 7.3287 0.269566 -0.685199 5.73743 7.43168 0.727489 -0.273298 6.6885 7.53311 0.0873473 0.132446 7.64125 7.17809 -0.546123 -1.28765 8.8605 7.74467 -0.113573 0.97869 1.14627 8.79646 0.140644 0.185829 1.93588 8.43218 -1.14538 -1.27127
0.3 1.39403 0.822098 0.943067 -1.42634 1.89129 1.51318 -1.10309 0.877268 3.05166 1.07159 -0.938901 -0.594696 4.50501 1.61209 0.201898 1.20696 5.81489 1.69659 0.864463 1.48862 6.76145 1.47012 0.315935 0.733748 7.61164 1.11186 -0.553804 -0.460459 8.81022 1.05287 -0.262244 -0.65711 0.975733 2.45133 -0.45126 -0.162221 2.0272 2.07055 -0.650081 -1.4315 3.07901 2.87156 -0.847737 1.23852 4.26824 2.8492 -0.587348 1.16398 5.95098 2.48117 1.31808 -0.0627696 6.74756 2.83211 0.26963 1.10703 7.58662 2.09137 -0.637184 -1.36209 8.70289 2.20091 -0.619999 -0.996974 1.42694 4.07791 1.05275 1.09302 2.02474 3.96952 -0.658259 0.731722 3.26215 4.03062 -0.237277 0.935403 4.61585 3.58886 0.571347 -0.537124 5.66549 3.34293 0.366433 -1.35689 6.53593 3.42644 -0.435786 -1.07852 7.40366 3.77317 -1.24705 0.0772182 9.00185 3.74385 0.376551 -0.0205107 1.17037 5.27094 0.197517 0.903147 2.47877 5.26254 0.855163 0.875127 3.66079 4.70057 1.09151 -0.998083 4.68802 4.98316 0.811919 -0.0561286 5.45491 5.0104 -0.335482 0.0346526 6.46121 4.91757 -0.684855 -0.274766 7.37772 4.91956 -1.33352 -0.268131 9.29768 4.76044 1.36262 -0.798526 0.959705 6.48143 -0.504688 0.771424 2.25432 6.62048 0.107001 1.23495 3.5752 6.49245 0.806238 0.808165 4.40816 6.23888 -0.120932 -0.037069 5.39778 6.6725 -0.525926 1.40833 6.59889 6.21581 -0.225921 -0.113974 7.94137 6.17198 0.545303 -0.260062 8.87448 5.86651 -0.048043 -1.27828 1.01629 7.38174 -0.316064 -0.394202 1.98225 7.72876 -0.799895 0.762524 3.23853 7.62084 -0.316004 0.402798 4.52531 7.29444 0.269566 -0.685199 5.7738 7.41801 0.727489 -0.273298 6.69287 7.53973 0.0873473 0.132446 7.61394 7.11371 -0.546123 -1.28765 8.85482 7.79361 -0.113573 0.97869 1.1533 8.80575 0.140644 0.185829 1.87861 8.36862 -1.14538 -1.27127
0.35 1.44118 0.750781 0.943067 -1.42634 1.83614 1.55704 -1.10309 0.877268 3.00472 1.04186 -0.938901 -0.594696 4.51511 1.67244 0.201898 1.20696 5.85812 1.77102 0.864463 1.48862 6.77724 1.50681 0.315935 0.733748 7.58395 1.08884 -0.553804 -0.460459 8.7971 1.02001 -0.262244 -0.65711 0.95317 2.44322 -0.45126 -0.162221 1.99469 1.99897 -0.650081 -1.4315 3.03663 2.93348 -0.847737 1.23852 4.23887 2.90739 -0.587348 1.16398 6.01688 2.47803 1.31808 -0.0627696 6.76104 2.88746 0.26963 1.10703 7.55476 2.02327 -0.637184 -1.36209 8.67189 2.15106 -0.619999 -0.996974 1.47957 4.13256 1.05275 1.09302 1.99183 4.0061 -0.658259 0.731722 3.25029 4.07739 -0.237277 0.935403 4.64442 3.56201 0.571347 -0.537124 5.68381 3.27509 0.366433 -1.35689 6.51414 3.37252 -0.435786 -1.07852 7.34131 3.77703 -1.24705 0.0772182 9.02068 3.74282 0.376551 -0.0205107 1.18024 5.3161 0.197517 0.903147 2.52153 5.30629 0.855163 0.875127 3.71536 4.65067 1.09151 -0.998083 4.72862 4.98035 0.811919 -0.0561286 5.43814 5.01213 -0.335482 0.0346526 6.42697 4.90383 -0.684855 -0.274766 7.31104 4.90615 -1.33352 -0.268131 9.36581 4.72052 1.36262 -0.798526 0.93447 6.52 -0.504688 0.771424 2.25967 6.68223 0.107001 1.23495 3.61552 6.53286 0.806238 0.808165 4.40212 6.23703 -0.120932 -0.037069 5.37148 6.74292 -0.525926 1.40833 6.58759 6.21011 -0.225921 -0.113974 7.96863 6.15898 0.545303 -0.260062 8.87207 5.8026 -0.048043 -1.27828 1.00049 7.36203 -0.316064 -0.394202 1.94226 7.76688 -0.799895 0.762524 3.22273 7.64098 -0.316004 0.402798 4.53879 7.26018 0.269566 -0.685199 5.81018 7.40435 0.727489 -0.273298 6.69724 7.54636 0.0873473 0.132446 7.58663 7.04932 -0.546123 -1.28765 8.84914 7.84254 -0.113573 0.97869 1.16034 8.81504 0.140644 0.185829 1.82134 8.30505 -1.14538 -1.27127
0.4 1.48834 0.679464 0.943067 -1.42634 1.78099 1.60091 -1.10309 0.877268 2.95777 1.01212 -0.938901 -0.594696 4.5252 1.73278 0.201898 1.20696 5.90134 1.84545 0.864463 1.48862 6.79304 1.5435 0.315935 0.733748 7.55626 1.06582 -0.553804 -0.460459 8.78399 0.987156 -0.262244 -0.65711 0.930607 2.43511 -0.45126 -0.162221 1.96219 1.9274 -0.650081 -1.4315 2.99424 2.99541 -0.847737 1.23852 4.20951 2.96559 -0.587348 1.16398 6.08279 2.47489 1.31808 -0.0627696 6.77452 2.94281 0.26963 1.10703 7.5229 1.95516 -0.637184 -1.36209 8.64089 2.10121 -0.619999 -0.996974 1.53221 4.18721 1.05275 1.09302 1.95892 4.04269 -0.658259 0.731722 3.23842 4.12416 -0.237277 0.935403 4.67298 3.53515 0.571347 -0.537124 5.70213 3.20724 0.366433 -1.35689 6.49235 3.31859 -0.435786 -1.07852 7.27896 3.78089 -1.24705 0.0772182 9.03951 3.7418 0.376551 -0.0205107 1.19012 5.36126 0.197517 0.903147 2.56429 5.35005 0.855163 0.875127 3.76994 4.60077 1.09151 -0.998083 4.76921 4.97755 0.811919 -0.0561286 5.42136 5.01386 -0.335482 0.0346526 6.39272 4.89009 -0.684855 -0.274766 7.24437 4.89275 -1.33352 -0.268131 9.43394 4.68059 1.36262 -0.798526 0.909236 6.55857 -0.504688 0.771424 2.26502 6.74398 0.107001 1.23495 3.65583 6.57327 0.806238 0.808165 4.39607 6.23517 -0.120932 -0.037069 5.34519 6.81333 -0.525926 1.40833 6.5763 6.20441 -0.225921 -0.113974 7.9959 6.14598 0.545303 -0.260062 8.86967 5.73869 -0.048043 -1.27828 0.984686 7.34232 -0.316064 -0.394202 1.90226 7.80501 -0.799895 0.762524 3.20693 7.66112 -0.316004 0.402798 4.55227 7.22592 0.269566 -0.685199 5.84655 7.39068 0.727489 -0.273298 6.70161 7.55298 0.0873473 0.132446 7.55933 6.98494 -0.546123 -1.28765 8.84346 7.89148 -0.113573 0.97869 1.16737 8.82433 0.140644 0.185829 1.76407 8.24149 -1.14538 -1.27127
0.45 1.53549 0.608147 0.943067 -1.42634 1.72583 1.64477 -1.10309 0.877268 2.91083 0.982387 -0.938901 -0.594696 4.5353 1.79313 0.201898 1.20696 5.94456 1.91988 0.864463 1.48862 6.80884 1.58019 0.315935 0.733748 7.52857 1.04279 -0.553804 -0.460459 8.77088 0.954301 -0.262244 -0.65711 0.908044 2.427 -0.45126 -0.162221 1.92969 1.85582 -0.650081 -1.4315 2.95185 3.05734 -0.847737 1.23852 4.18014 3.02379 -0.587348 1.16398 6.14869 2.47175 1.31808 -0.0627696 6.788 2.99816 0.26963 1.10703 7.49104 1.88706 -0.637184 -1.36209 8.60989 2.05136 -0.619999 -0.996974 1.58485 4.24186 1.05275 1.09302 1.92601 4.07927 -0.658259 0.731722 3.22656 4.17093 -0.237277 0.935403 4.70155 3.50829 0.571347 -0.537124 5.72045 3.1394 0.366433 -1.35689 6.47056 3.26467 -0.435786 -1.07852 7.21661 3.78475 -1.24705 0.0772182 9.05834 3.74077 0.376551 -0.0205107 1.19999 5.40642 0.197517 0.903147 2.60705 5.39381 0.855163 0.875127 3.82451 4.55086 1.09151 -0.998083 4.80981 4.97474 0.811919 -0.0561286 5.40459 5.01559 -0.335482 0.0346526 6.35848 4.87636 -0.684855 -0.274766 7.17769 4.87934 -1.33352 -0.268131 9.50207 4.64066 1.36262 -0.798526 0.884001 6.59714 -0.504688 0.771424 2.27037 6.80573 0.107001 1.23495 3.69614 6.61367 0.806238 0.808165 4.39002 6.23332 -0.120932 -0.037069 5.31889 6.88375 -0.525926 1.40833 6.565 6.19871 -0.225921 -0.113974 8.02316 6.13297 0.545303 -0.260062 8.86727 5.67477 -0.048043 -1.27828 0.968882 7.32261 -0.316064 -0.394202 1.86227 7.84314 -0.799895 0.762524 3.19113 7.68126 -0.316004 0.402798 4.56575 7.19166 0.269566 -0.685199 5.88293 7.37702 0.727489 -0.273298 6.70597 7.5596 0.0873473 0.132446 7.53202 6.92056 -0.546123 -1.28765 8.83778 7.94041 -0.113573 0.97869 1.1744 8.83362 0.140644 0.185829 1.7068 8.17793 -1.14538 -1.27127
