t,theta1,omega1,theta2,omega2,E1,E2,E_total
0,0.5,0,-0.3,0,1.200915068,0.4381490417,1.656130776
0.025,0.498979903,-0.08155342972,-0.2986465119,0.1082043672,1.199447345,0.4400878856,1.656450438
0.05,0.4959269063,-0.1625576107,-0.2945961158,0.2156487394,1.195042592,0.4458719974,1.657381886
0.075,0.4908603066,-0.2425678286,-0.2878755882,0.3217116756,1.187709333,0.4554386179,1.658889568
0.1,0.4838104722,-0.3211433426,-0.2785271831,0.4257767189,1.177471104,0.4687064056,1.660945482
0.125,0.4748187243,-0.3978489196,-0.266608483,0.527234383,1.164367134,0.4855755827,1.663528488
0.15,0.4639371787,-0.4722565006,-0.2521921972,0.6254844439,1.148453116,0.5059279075,1.666623047
0.175,0.4512285444,-0.5439470319,-0.2353658974,0.7199386077,1.129801991,0.5296265288,1.67021748
0.2,0.4367658732,-0.6125124803,-0.2162316818,0.8100236009,1.108504705,0.5565157928,1.674301896
0.225,0.4206322571,-0.6775580454,-0.1949057561,0.8951846953,1.084670849,0.5864210804,1.678865908
0.25,0.402920468,-0.7387045629,-0.1715179222,0.9748896545,1.058429136,0.6191487569,1.683896322
0.275,0.3837325347,-0.7955910824,-0.1462109618,1.048633048,1.029927625,0.6544863184,1.689374923
0.3,0.3631792539,-0.8478775888,-0.1191399098,1.115940853,0.9993336422,0.6922028087,1.695276543
0.325,0.3413796316,-0.8952478206,-0.09047120919,1.176375223,0.966833338,0.7320495756,1.701567517
0.35,0.3184602538,-0.9374121294,-0.06038174713,1.229539294,0.9326308395,0.7737614155,1.708204651
0.375,0.2945545852,-0.974110313,-0.02905777097,1.275081858,0.8969469725,0.8170581378,1.715134787
0.4,0.269802199,-1.005114348,0.003306308485,1.312701748,0.8600175445,0.8616465593,1.722294989
0.425,0.2443479401,-1.030230941,0.03650921806,1.342151745,0.8220911995,0.9072229144,1.72961338
0.45,0.218341027,-1.049303829,0.07034421349,1.363241868,0.7834268774,0.9534756407,1.737010571
0.475,0.1919341014,-1.062215739,0.1046005435,1.375841886,0.7442909287,1.000088481,1.744401614
0.5,0.1652822324,-1.068889957,0.1390649659,1.379882953,0.7049539551,1.046743821,1.751698377
0.525,0.1385418881,-1.069291438,0.1735232928,1.375358275,0.665687458,1.093126163,1.758812194
0.55,0.1118698848,-1.063427423,0.2077619394,1.362322784,0.6267603919,1.138925628,1.765656629
0.575,0.08542232755,-1.051347539,0.2415694536,1.340891822,0.588435723,1.183841391,1.772150208
0.6,0.05935355492,-1.033143372,0.2747379988,1.311238888,0.5509670939,1.227584907,1.778218942
0.625,0.03381510062,-1.008947525,0.3070647719,1.273592534,0.5145956959,1.269882871,1.783798491
0.65,0.008954684861,-0.9789321953,0.3383533323,1.228232551,0.4795474331,1.310479784,1.788835854
