t,theta1,omega1,theta2,omega2,E1,E2,E_total
0,0.5,0,-0.3,0,1.200915068,0.4381490417,1.656130776
0.025,0.498511569,-0.1189946884,-0.2991148273,0.0707660783,1.201004139,0.4380904697,1.656009815
0.05,0.4940569986,-0.2371815016,-0.296465728,0.1410484023,1.201243884,0.4379088784,1.655620041
0.075,0.4866646978,-0.3539039667,-0.2920697148,0.2104539241,1.201588282,0.4375990845,1.654928893
0.1,0.4763794448,-0.4685092469,-0.2859535865,0.2785930307,1.201986022,0.4371606449,1.65391437
0.125,0.4632622792,-0.5803495121,-0.2781538256,0.3450808595,1.20238218,0.4365975508,1.652564892
0.15,0.4473903554,-0.6887837369,-0.2687164621,0.409538723,1.202720151,0.4359177278,1.650878745
0.175,0.4288567451,-0.7931800332,-0.2576968998,0.4715956669,1.202943763,0.435132372,1.648863172
0.2,0.4077701726,-0.8929185902,-0.2451597021,0.5308901823,1.202999484,0.4342551638,1.646533161
0.225,0.3842546701,-0.9873952629,-0.2311783329,0.5870720798,1.202838633,0.4333014026,1.643910037
0.25,0.358449134,-1.076025807,-0.2158348479,0.639804524,1.202419473,0.4322871121,1.641019921
0.275,0.3305067684,-1.158250718,-0.1992195345,0.6887662178,1.201709111,0.4312281659,1.637892159
0.3,0.3005944001,-1.23354058,-0.1814304943,0.7336537103,1.200685076,0.4301394799,1.634557807
0.325,0.2688916562,-1.301401807,-0.162573167,0.7741837977,1.199336514,0.4290343167,1.631048241
0.35,0.2355899935,-1.361382587,-0.142759794,0.8100959708,1.197664903,0.4279237381,1.627393982
0.375,0.2008915794,-1.413078848,-0.1221088202,0.8411548598,1.195684248,0.4268162351,1.623623763
0.4,0.1650080265,-1.456140013,-0.1007442354,0.8671526178,1.193420736,0.4257175518,1.619763906
0.425,0.1281589871,-1.490274304,-0.07879485807,0.8879111834,1.190911823,0.4246307104,1.615837994
0.45,0.09057062341,-1.515253391,-0.05639356386,0.9032843588,1.188204822,0.4235562308,1.61186686
0.475,0.05247397314,-1.530916139,-0.03367646567,0.9131596462,1.185355019,0.4224925258,1.607868858
0.5,0.0141032328,-1.537171311,-0.01078205124,0.9174597861,1.182423414,0.4214364432,1.603860371
0.525,-0.02430601066,-1.533999063,0.01214971349,0.9161439517,1.179474206,0.4203839154,1.599856507
0.55,-0.06251857026,-1.521451161,0.03497830624,0.9092085616,1.176572118,0.4193306711,1.595871896
0.575,-0.1003014384,-1.499649905,0.05756358539,0.896687686,1.173779719,0.4182729587,1.591921538
0.6,-0.1374255236,-1.468785784,0.07976673205,0.8786530342,1.171154866,0.417208231,1.588021581
0.625,-0.1736673135,-1.429113974,0.1014511865,0.8552135231,1.168748378,0.4161357437,1.584189996
0.65,-0.2088104375,-1.380949815,0.1224835687,0.8265144417,1.166602066,0.4150570228,1.580447042
0.675,-0.2426471059,-1.324663483,0.1427345732,0.7927362363,1.164747204,0.4139761692,1.57681549
0.7,-0.2749794073,-1.260674052,0.1620798294,0.7540929529,1.16320349,0.4128999745,1.573320551
0.725,-0.3056204533,-1.189443205,0.1804007185,0.7108303798,1.161978544,0.4118378371,1.569989505
0.75,-0.3343953632,-1.111468823,0.1975851419,0.6632239406,1.161067938,0.4108014787,1.566851009
0.775,-0.3611420899,-1.027278686,0.2135282327,0.6115763884,1.160455742,0.4098044753,1.563934131
0.8,-0.3857120918,-0.9374244853,0.2281330094,0.5562153545,1.160115527,0.4088616258,1.561267139
0.825,-0.4079708607,-0.8424763202,0.2413109656,0.4974907997,1.160011771,0.4079881939,1.558876107
0.85,-0.4277983191,-0.7430178094,0.252982596,0.4357724132,1.160101568,0.4071990666,1.556783417
0.875,-0.4450891046,-0.6396419091,0.263077857,0.3714469972,1.160336564,0.4065078753,1.555006238
0.9,-0.4597527592,-0.5329474787,0.2715365616,0.3049158669,1.160665009,0.4059261308,1.553555078
0.925,-0.4717138411,-0.4235365961,0.2783087106,0.2365922875,1.161033836,0.4054624236,1.552432491
0.95,-0.4809119797,-0.3120125858,0.2833547595,0.1668989601,1.161390669,0.4051217346,1.551632037
0.975,-0.4873018883,-0.1989786842,0.2866458235,0.09626556202,1.161685686,0.4049049005,1.551137558
1,-0.4908533514,-0.08503724023,0.2881638218,0.02512633704,1.161873261,0.4048082662,1.550922847
1.025,-0.4915511967,0.02921067652,0.2879015621,-0.04608227266,1.161913327,0.4048235508,1.550951748
1.05,-0.4893952612,0.1431654027,0.2858627664,-0.1169239671,1.161772424,0.4049379412,1.551178716
1.075,-0.4844003556,0.256228698,0.282062038,-0.1869649179,1.161424406,0.4051344161,1.551549838
1.1,-0.4765962283,0.3678038083,0.2765247706,-0.2557761026,1.160850795,0.4053922912,1.552004299
1.125,-0.4660275257,0.4772957307,0.2692869991,-0.3229356596,1.160040791,0.4056879667,1.552476246
1.15,-0.4527537413,0.5841118238,0.2603951904,-0.3880312752,1.158990962,0.4059958446,1.552896997
1.175,-0.4368491445,0.6876628928,0.249905975,-0.4506626091,1.157704647,0.4062893769,1.553197488
1.2,-0.4184026746,0.7873648548,0.2378858162,-0.5104437578,1.156191123,0.4065421947,1.553310884
1.225,-0.3975177859,0.8826410639,0.2244106188,-0.5670057478,1.154464579,0.4067292668,1.55317522
1.25,-0.3743122248,0.9729253391,0.2095652741,-0.6199990429,1.152542978,0.4068280289,1.55273596
1.275,-0.3489177233,1.057665704,0.1934431426,-0.6690960389,1.150446864,0.4068194291,1.551948348
1.3,-0.32147959,1.136328805,0.1761454756,-0.7139935145,1.14819818,0.4066888331,1.550779438
1.325,-0.2921561826,1.208404928,0.1577807749,-0.7544149981,1.145819168,0.4064267433,1.549209687
1.35,-0.2611182495,1.273413507,0.1384640966,-0.7901130043,1.143331402,0.4060292897,1.547234034
1.375,-0.228548128,1.330908963,0.1183162998,-0.8208710922,1.140755014,0.4054984648,1.54486238
1.4,-0.1946387955,1.380486684,0.09746324725,-0.8465056964,1.138108136,0.4048420859,1.542119449
1.425,-0.1595927706,1.421788945,0.0760349634,-0.8668676808,1.135406591,0.404073482,1.539044001
