# t, theta1, omega1, theta2, omega2, E_total
0, 0.99, 0.94, 0.1, 0.2, 5.05565644
0.05, 1.026149152, 0.504181343, 0.1082314815, 0.1283790884, 5.048922086
0.1, 1.040296535, 0.06104877671, 0.1127714951, 0.05277844318, 5.045049359
0.15, 1.032241021, -0.3828668526, 0.1134875951, -0.02412504316, 5.044431882
0.2, 1.002104184, -0.8211091267, 0.1103824446, -0.09962438057, 5.046969692
0.25, 0.9503383273, -1.246831721, 0.1035922615, -0.1711044893, 5.052095406
0.3, 0.8777561292, -1.652413293, 0.09337924399, -0.2361604269, 5.058887863
0.35, 0.7855756211, -2.029244847, 0.08011826569, -0.2927075197, 5.066251945
0.4, 0.6754696078, -2.367778438, 0.06427838302, -0.3390776611, 5.073129949
0.45, 0.5496046532, -2.657903493, 0.04640002225, -0.3740945168, 5.078701639
0.5, 0.4106526283, -2.889663941, 0.02706910085, -0.3971196224, 5.08252986
0.55, 0.2617591758, -3.054244103, 0.006889724757, -0.4080622468, 5.084618622
0.6, 0.1064595323, -3.145052412, -0.01354260808, -0.4073489808, 5.085370503
0.65, -0.05145727168, -3.158658915, -0.03366528675, -0.3958541373, 5.085455789
0.7, -0.2081221646, -3.095339263, -0.05296854434, -0.3747981645, 5.085628982
0.75, -0.3597735237, -2.959065025, -0.07100978894, -0.3456266273, 5.086540993
0.8, -0.5029298369, -2.756933075, -0.08742171827, -0.3098852065, 5.088592749
0.85, -0.6345226562, -2.49818339, -0.1019144016, -0.2691056715, 5.091859872
0.9, -0.7519751773, -2.193050317, -0.1142721828, -0.2247142419, 5.09609559
0.95, -0.8532245358, -1.851697677, -0.1243467018, -0.1779685317, 5.100798839
1, -0.93669694, -1.483419287, -0.1320475073, -0.1299240447, 5.105322516
1.05, -1.001251385, -1.096187276, -0.137331677, -0.08142725147, 5.108994455
1.1, -1.046109504, -0.6965426813, -0.1401936524, -0.03313014631, 5.111228476
1.15, -1.070787318, -0.2897680383, -0.1406562209, 0.01447931975, 5.111610776
1.2, -1.075040981, 0.1197394576, -0.1387633089, 0.06103598422, 5.109954708
1.25, -1.058834491, 0.5279748323, -0.1345750215, 0.1062494894, 5.106322529
1.3, -1.022333548, 0.9307844697, -0.12816518, 0.1498528272, 5.101015706
1.35, -0.9659262502, 1.323344263, -0.1196214595, 0.1915502889, 5.094536537
1.4, -0.8902679812, 1.699725739, -0.1090480802, 0.2309679125, 5.08752424
1.45, -0.7963442159, 2.052627044, -0.09657083618, 0.2676102788, 5.080669683
1.5, -0.68554093, 2.373351129, -0.08234402519, 0.3008285729, 5.074615499
1.55, -0.5597083634, 2.65210337, -0.06655857347, 0.3298057475, 5.069852681
1.6, -0.4212011022, 2.878641409, -0.0494503485, 0.3535647903, 5.066630091
1.65, -0.2728775384, 3.04323549, -0.03130737666, 0.3710048533, 5.064897268
1.7, -0.1180462474, 3.137799871, -0.01247451381, 0.3809669386, 5.064300519
1.75, 0.03964389429, 3.156969296, 0.006645855552, 0.3823261155, 5.064244702
1.8, 0.1963606599, 3.098864497, 0.02559822811, 0.3741018116, 5.064018169
1.85, 0.3482715515, 2.965348309, 0.04388409272, 0.3555731276, 5.062959611
1.9, 0.4917253029, 2.761709791, 0.06097761667, 0.3263839906, 5.060629597
1.95, 0.6234050469, 2.495875363, 0.07634603677, 0.2866241321, 5.056943504
2, 0.7404346269, 2.177365665, 0.08947327796, 0.2368760225, 5.052229671
2.05, 0.8404317264, 1.816251833, 0.09988496885, 0.1782236079, 5.047194908
2.1, 0.9215132726, 1.422317487, 0.1071729574, 0.112224199, 5.042802702
2.15, 0.9822666594, 1.004540176, 0.1110176043, 0.04084877505, 5.040090007
2.2, 1.021703611, 0.5709121914, 0.1112064479, -0.03360223101, 5.03996133
2.25, 1.039212679, 0.1285534949, 0.1076481938, -0.1086006389, 5.043002117
2.3, 1.034523027, -0.3159648806, 0.100381308, -0.1815037845, 5.049348363
2.35, 1.00768772, -0.756179256, 0.08957675762, -0.2496746948, 5.058638391
2.4, 0.959090127, -1.185266118, 0.07553465005, -0.3106053124, 5.070058008
2.45, 0.8894723913, -1.595641678, 0.05867471698, -0.3620387953, 5.08247367
2.5, 0.7999803063, -1.978722183, 0.03952080709, -0.4020858769, 5.094631403
2.55, 0.6922142246, -2.324936478, 0.0186798453, -0.4293285847, 5.105384165
2.6, 0.5682714518, -2.624063128, -0.003183905664, -0.4429029155, 5.113900601
2.65, 0.4307630333, -2.86591555, -0.02537799766, -0.44255117, 5.119807421
2.7, 0.282788611, -3.041315928, -0.04721262627, -0.4286354574, 5.123229261
2.75, 0.1278584967, -3.143197828, -0.06803104241, -0.4021069746, 5.124713538
2.8, -0.03023767442, -3.16759624, -0.08723730714, -0.364430971, 5.125058271
2.85, -0.1876035401, -3.114268273, -0.1043193075, -0.3174738446, 5.125088524
2.9, -0.3404263774, -2.986764157, -0.1188654302, -0.2633648483, 5.125441483
2.95, -0.4851562831, -2.791918093, -0.1305740198, -0.2043485855, 5.126415332
3, -0.618647875, -2.538891934, -0.1392555776, -0.1426447148, 5.127915108
3.05, -0.7382479221, -2.238013375, -0.1448284137, -0.0803282076, 5.129498759
3.1, -0.8418252313, -1.899667839, -0.147309009, -0.01923838068, 5.130500057
3.15, -0.9277507657, -1.533440773, -0.146798616, 0.03908051225, 5.130189946
3.2, -0.99484337, -1.147607226, -0.1434676537, 0.09340865887, 5.127936149
3.25, -1.042298896, -0.7489728726, -0.137539302, 0.1428540969, 5.123329448
3.3, -1.069619075, -0.343010293, -0.1292734731, 0.1868350405, 5.11625841
3.35, -1.076552898, 0.0657908551, -0.1189520974, 0.2250456884, 5.106927719
3.4, -1.063059134, 0.4734420243, -0.1068664514, 0.2574092803, 5.095825618
3.45, -1.029294662, 0.8759159428, -0.09330708694, 0.2840214653, 5.083652353
3.5, -0.9756298645, 1.268615605, -0.07855677527, 0.3050868212, 5.071224152
3.55, -0.9026889423, 1.645919622, -0.06288673085, 0.3208517722, 5.059367247
3.6, -0.8114095208, 2.000878652, -0.04655619263, 0.3315381742, 5.048814853
3.65, -0.7031119668, 2.325144085, -0.02981519481, 0.337283229, 5.040118052
3.7, -0.579564868, 2.609203482, -0.01291003985, 0.3380927243, 5.033579854
3.75, -0.4430301047, 2.842963614, 0.003909382824, 0.3338152288, 5.029220698
3.8, -0.2962704647, 3.016653767, 0.0203816588, 0.3241441111, 5.026782618
3.85, -0.1425064115, 3.121927784, 0.03622680261, 0.3086515561, 5.025776997
3.9, 0.01468295313, 3.152953393, 0.05114171467, 0.2868541363, 5.025575676
3.95, 0.1715077926, 3.107236074, 0.06479958862, 0.2583037297, 5.025536627
4, 0.3241453971, 2.985966628, 0.07685426559, 0.2226921814, 5.025144987
4.05, 0.4689213664, 2.793805075, 0.08694985684, 0.179954776, 5.024141492
4.1, 0.6024670768, 2.538172726, 0.09473519299, 0.1303574943, 5.022607776
4.15, 0.7218334593, 2.228252885, 0.09988197247, 0.07455613301, 5.020984008
4.2, 0.8245527527, 1.87395018, 0.1021050102, 0.01362054416, 5.020008357
4.25, 0.9086518343, 1.485023875, 0.1011827899, -0.05097724582, 5.020585542
4.3, 0.9726294541, 1.070523986, 0.09697657797, -0.1174079095, 5.023608219
4.35, 1.015413732, 0.6385643833, 0.0894465832, -0.1835570663, 5.029765825
4.4, 1.03631606, 0.1963953604, 0.07866395193, -0.2471185702, 5.039378903
4.45, 1.034994556, -0.2493012969, 0.06481769778, -0.3057029246, 5.052293099
4.5, 1.01143595, -0.6919857827, 0.04821594094, -0.3569556801, 5.067857164
4.55, 0.9659601453, -1.12479515, 0.0292810757, -0.3986811275, 5.084995114
4.6, 0.8992470647, -1.54013259, 0.008538722315, -0.4289663537, 5.102365536
4.65, 0.8123807013, -1.929406045, -0.01339941238, -0.44629972, 5.118582905
4.7, 0.7069005346, -2.283009866, -0.03585830663, -0.4496762998, 5.132459462
4.75, 0.5848461095, -2.590626818, -0.05812715648, -0.4386812811, 5.143215795
4.8, 0.4487776967, -2.841882521, -0.07949032428, -0.4135415766, 5.150608727
4.85, 0.3017562131, -3.027304375, -0.09925988191, -0.3751366898, 5.15493963
4.9, 0.1472704928, -3.139435171, -0.1168075455, -0.3249628908, 5.156934594
4.95, -0.01089015884, -3.173863863, -0.1315936234, -0.2650499814, 5.157523259
5, -0.1688073247, -3.129909939, -0.1431907256, -0.1978365338, 5.157574175
5.05, -0.3226260236, -3.010764144, -0.1513004409, -0.1260158426, 5.15765887
5.1, -0.4687392769, -2.823034446, -0.1557619179, -0.05236906939, 5.157907876
5.15, -0.6039372381, -2.575814611, -0.1565521478, 0.02039707279, 5.157992677
5.2, -0.7255026254, -2.279512637, -0.153778562, 0.08979330823, 5.157229568
5.25, -0.8312471778, -1.944705073, -0.1476651815, 0.1536615119, 5.154768725
5.3, -0.9194960422, -1.5812271, -0.1385339187, 0.2102545993, 5.149814304
5.35, -0.9890350705, -1.197608516, -0.1267827383, 0.2582825204, 5.141821513
5.4, -1.039039009, -0.8008690429, -0.1128623128, 0.2969270806, 5.130630082
5.45, -1.068997439, -0.3966209021, -0.09725263642, 0.3258294652, 5.116513615
5.5, -1.078651858, 0.01060223165, -0.08044086279, 0.3450543834, 5.100144353
5.55, -1.067953118, 0.4168734564, -0.06290144578, 0.35503434, 5.082488915
5.6, -1.037044443, 0.8183327796, -0.04507949647, 0.3564972671, 5.064660588
5.65, -0.9862717393, 1.210645917, -0.02737810427, 0.3503809391, 5.047757695
5.7, -0.9162196417, 1.588527743, -0.01015018218, 0.3377383955, 5.032716065
5.75, -0.8277682724, 1.945402851, 0.006304847201, 0.3196399551, 5.02019782
5.8, -0.7221618912, 2.2732831, 0.02173952866, 0.2970790669, 5.010530228
