# t, theta1, omega1, theta2, omega2, E_total
0, 0.2, 0.1, 0.2, -0, 0.3960937428
0.05, 0.2025486871, 0.001743158504, 0.197568691, -0.09705754919, 0.396093773
0.1, 0.2001735983, -0.09655670453, 0.190333084, -0.191786406, 0.3960942146
0.15, 0.1929316165, -0.1925421989, 0.1784669059, -0.2819072342, 0.3960960376
0.2, 0.1809964836, -0.2839046762, 0.1622555818, -0.3652397594, 0.3961005984
0.25, 0.1646551111, -0.3684344025, 0.1420900313, -0.4397528426, 0.3961093085
0.3, 0.1443013701, -0.4440711989, 0.1184579615, -0.5036143526, 0.396123273
0.35, 0.1204273465, -0.5089550003, 0.0919326974, -0.5552395484, 0.3961429791
0.4, 0.09361209712, -0.5614750365, 0.06315967033, -0.5933359999, 0.3961681037
0.45, 0.06450802034, -0.6003156249, 0.03284079665, -0.6169426016, 0.3961974836
0.5, 0.03382507476, -0.6244960589, 0.001717108043, -0.6254601008, 0.3962292621
0.55, 0.002313206157, -0.6334019305, -0.029449884, -0.618670853, 0.39626118
0.6, -0.02925652675, -0.6268055117, -0.05989750669, -0.5967462002, 0.396290954
0.65, -0.06011153518, -0.6048735185, -0.08888128873, -0.5602408482, 0.3963166597
0.7, -0.08949733981, -0.5681615959, -0.1156937246, -0.5100747145, 0.3963370389
0.75, -0.11669661, -0.5175959887, -0.1396818466, -0.4475037206, 0.3963516657
0.8, -0.1410469958, -0.4544439122, -0.1602631057, -0.3740817387, 0.3963609396
0.85, -0.1619572424, -0.3802748989, -0.176939181, -0.2916162468, 0.3963659099
0.9, -0.178921201, -0.2969157549, -0.1893074675, -0.2021201708, 0.3963679731
0.95, -0.1915294815, -0.2064016892, -0.1970701041, -0.1077619572, 0.396368513
1, -0.1994786122, -0.1109257236, -0.2000404913, -0.01081526367, 0.3963685592
1.05, -0.2025776567, -0.0127878068, -0.1981473001, 0.08639106748, 0.3963685403
1.1, -0.2007522963, 0.08565569288, -0.1914359875, 0.1815226909, 0.3963681819
1.15, -0.1940463969, 0.1820420798, -0.1800678318, 0.2722893984, 0.3963665717
1.2, -0.1826210758, 0.274052353, -0.1643164787, 0.356495056, 0.3963623775
1.25, -0.16675126, 0.359461551, -0.1445619815, 0.4320878842, 0.3963541721
1.3, -0.1468197166, 0.4361895115, -0.1212823281, 0.4972105638, 0.3963407962
1.35, -0.1233085436, 0.5023515622, -0.09504249082, 0.5502489427, 0.3963216802
1.4, -0.09678815072, 0.5563079194, -0.06648111488, 0.5898774314, 0.3962970533
1.45, -0.06790384334, 0.596709858, -0.03629506888, 0.6150986778, 0.3962679921
1.5, -0.03736022785, 0.6225401863, -0.005222208846, 0.625274948, 0.3962362931
1.55, -0.005903791724, 0.6331453793, 0.02597717023, 0.6201488913, 0.3962041943
1.6, 0.02569586358, 0.6282569677, 0.05653961903, 0.5998520217, 0.3961740015
1.65, 0.05666555254, 0.6080004454, 0.08571791857, 0.5649002085, 0.3961477012
1.7, 0.08624815075, 0.5728909416, 0.1127999204, 0.5161765584, 0.3961266401
1.75, 0.1137216983, 0.5238160327, 0.1371262429, 0.454903097, 0.3961113405
1.8, 0.1384173502, 0.4620071213, 0.1581063163, 0.3826034175, 0.3961014881
1.85, 0.1597356548, 0.3890016074, 0.1752323864, 0.3010588479, 0.3960960907
1.9, 0.1771607654, 0.3065984722, 0.1880912182, 0.2122606446, 0.3960937694
1.95, 0.1902723202, 0.2168098566, 0.1963733543, 0.1183603146, 0.396093118
2, 0.1987548479, 0.1218107926, 0.1998798749, 0.02161951295, 0.3960930503
2.05, 0.2024046458, 0.02388857436, 0.1985266583, -0.07563975876, 0.3960930613
2.1, 0.2011341343, -0.07460750232, 0.1923461615, -0.171084562, 0.3960933474
2.15, 0.1949737101, -0.1713159607, 0.1814867347, -0.262420341, 0.3960947597
2.2, 0.1840711127, -0.2639128678, 0.1662094639, -0.3474405323, 0.3960986013
2.25, 0.168688298, -0.3501618939, 0.1468825217, -0.4240765812, 0.39610631
2.3, 0.1491957958, -0.4279648697, 0.1239730156, -0.4904479435, 0.3961190954
2.35, 0.1260645337, -0.4954124491, 0.09803635746, -0.5449109467, 0.3961376081
2.4, 0.09985514763, -0.5508337515, 0.06970325565, -0.5861046779, 0.3961617143
2.45, 0.07120487275, -0.592843121, 0.03966453605, -0.6129915322, 0.396190427
2.5, 0.04081221825, -0.6203815738, 0.008654122503, -0.6248898392, 0.3962220151
2.55, 0.009419758358, -0.6327502688, -0.02256936504, -0.6214961773, 0.3962542672
2.6, -0.02220449824, -0.6296335221, -0.05324183134, -0.6028955908, 0.3962848595
2.65, -0.05328658768, -0.6111095015, -0.0826131151, -0.5695588511, 0.3963117465
2.7, -0.08306627571, -0.5776476929, -0.1099659397, -0.5223269902, 0.3963334934
