t,theta1,omega1,theta2,omega2,E1,E2,ET
0,0.1,0,0,0,0.48078,0,0.480946
0.01,0.10007,0.0139374,7.5199e-05,0.0150346,0.490797,0.0108768,0.50184
0.02,0.100279,0.0278449,0.000300585,0.030037,0.520768,0.0434175,0.564352
0.03,0.100627,0.0417206,0.000675824,0.0450051,0.570572,0.097483,0.668222
0.04,0.101113,0.0555624,0.00120056,0.0599368,0.640081,0.172929,0.813177
0.05,0.101738,0.0693686,0.00187443,0.07483,0.729163,0.269607,0.998936
0.06,0.1025,0.083137,0.00269703,0.0896827,0.83768,0.387363,1.22521
0.07,0.1034,0.0968658,0.00366794,0.104493,0.965492,0.526035,1.49169
0.08,0.104437,0.110553,0.00478674,0.119258,1.11245,0.685461,1.79808
0.09,0.105611,0.124197,0.00605295,0.133977,1.27841,0.865471,2.14405
0.1,0.106921,0.137795,0.00746611,0.148647,1.46321,1.06589,2.52927
0.11,0.108367,0.151347,0.00902571,0.163266,1.6667,1.28654,2.9534
0.12,0.109948,0.164849,0.0107312,0.177832,1.8887,1.52724,3.4161
0.13,0.111664,0.1783,0.0125822,0.192344,2.12906,1.7878,3.91702
0.14,0.113514,0.191698,0.0145779,0.206798,2.38759,2.06802,4.45577
0.15,0.115497,0.205041,0.0167179,0.221194,2.66413,2.36771,5.032
0.16,0.117614,0.218327,0.0190016,0.235529,2.95849,2.68667,5.64533
0.17,0.119864,0.231556,0.0214283,0.249801,3.2705,3.0247,6.29535
0.18,0.122245,0.244724,0.0239974,0.264009,3.59995,3.38157,6.98168
0.19,0.124758,0.257829,0.0267083,0.27815,3.94666,3.75709,7.70391
0.2,0.127402,0.270871,0.0295602,0.292222,4.31044,4.15103,8.46162
0.21,0.130175,0.283847,0.0325525,0.306224,4.69108,4.56317,9.2544
0.22,0.133078,0.296756,0.0356844,0.320153,5.08838,4.99328,10.0818
0.23,0.13611,0.309596,0.0389553,0.334008,5.50215,5.44114,10.9434
0.24,0.13927,0.322364,0.0423643,0.347787,5.93216,5.90651,11.8388
0.25,0.142557,0.33506,0.0459108,0.361488,6.3782,6.38916,12.7675
0.26,0.145971,0.347681,0.0495938,0.375109,6.84006,6.88885,13.7291
0.27,0.149511,0.360226,0.0534127,0.388648,7.31753,7.40533,14.723
0.28,0.153175,0.372693,0.0573665,0.402103,7.81037,7.93837,15.7489
0.29,0.156964,0.38508,0.0614545,0.415473,8.31836,8.4877,16.8062
0.3,0.160877,0.397387,0.0656757,0.428756,8.84129,9.05308,17.8945
0.31,0.164912,0.40961,0.0700293,0.441949,9.3789,9.63426,19.0133
0.32,0.169069,0.421748,0.0745144,0.455052,9.93098,10.231,20.1621
0.33,0.173346,0.433801,0.07913,0.468062,10.4973,10.843,21.3404
0.34,0.177744,0.445766,0.0838753,0.480978,11.0776,11.47,22.5477
0.35,0.182261,0.457641,0.0887493,0.493798,11.6716,12.1117,23.7835
0.36,0.186897,0.469425,0.0937509,0.506521,12.2792,12.7679,25.0472
0.37,0.19165,0.481117,0.0988793,0.519143,12.9,13.4384,26.3385
0.38,0.196519,0.492714,0.104133,0.531665,13.5338,14.1227,27.6567
0.39,0.201504,0.504216,0.109512,0.544084,14.1804,14.8208,29.0013
0.4,0.206603,0.515621,0.115015,0.556399,14.8395,15.5322,30.3718
0.41,0.211816,0.526927,0.12064,0.568607,15.5109,16.2567,31.7677
0.42,0.217141,0.538134,0.126387,0.580708,16.1943,16.9941,33.1885
0.43,0.222578,0.549238,0.132254,0.5927,16.8894,17.7439,34.6335
0.44,0.228125,0.56024,0.13824,0.604581,17.596,18.5061,36.1022
0.45,0.233782,0.571137,0.144345,0.61635,18.3139,19.2802,37.5942
0.46,0.239548,0.581928,0.150567,0.628005,19.0427,20.0661,39.1089
0.47,0.245421,0.592612,0.156905,0.639544,19.7822,20.8633,40.6456
0.48,0.2514,0.603188,0.163357,0.650967,20.5322,21.6716,42.204
0.49,0.257484,0.613653,0.169924,0.662272,21.2924,22.4908,43.7833
0.5,0.263672,0.624008,0.176602,0.673457,22.0625,23.3205,45.3831
0.51,0.269964,0.63425,0.183392,0.684521,22.8422,24.1604,47.0028
0.52,0.276357,0.644378,0.190292,0.695463,23.6313,25.0103,48.6418
0.53,0.282851,0.654391,0.197301,0.70628,24.4296,25.8699,50.2995
0.54,0.289444,0.664288,0.204418,0.716973,25.2366,26.7388,51.9755
0.55,0.296136,0.674068,0.21164,0.727539,26.0523,27.6168,53.6692
0.56,0.302925,0.683729,0.218968,0.737978,26.8763,28.5035,55.3799
0.57,0.30981,0.69327,0.226399,0.748287,27.7083,29.3988,57.1072
0.58,0.31679,0.70269,0.233933,0.758466,28.5481,30.3022,58.8504
0.59,0.323864,0.711988,0.241568,0.768514,29.3954,31.2135,60.609
0.6,0.33103,0.721164,0.249303,0.778429,30.2499,32.1324,62.3824
0.61,0.338287,0.730215,0.257136,0.788211,31.1114,33.0586,64.1701
0.62,0.345634,0.73914,0.265067,0.797857,31.9796,33.9918,65.9715
0.63,0.353069,0.74794,0.273093,0.807367,32.8542,34.9318,67.786
0.64,0.360592,0.756613,0.281214,0.816741,33.7349,35.8781,69.6131
0.65,0.368201,0.765157,0.289427,0.825976,34.6215,36.8306,71.4522
0.66,0.375895,0.773572,0.297733,0.835072,35.5138,37.7889,73.3027
0.67,0.383672,0.781858,0.306128,0.844028,36.4113,38.7527,75.1642
0.68,0.391531,0.790012,0.314613,0.852843,37.314,39.7218,77.0359
0.69,0.399472,0.798035,0.323185,0.861515,38.2215,40.6959,78.9174
0.7,0.407492,0.805926,0.331843,0.870045,39.1335,41.6746,80.8082
0.71,0.41559,0.813683,0.340585,0.878431,40.0498,42.6577,82.7076
0.72,0.423765,0.821306,0.349411,0.886673,40.97,43.645,84.6151
0.73,0.432015,0.828794,0.358318,0.894769,41.8941,44.636,86.5302
0.74,0.44034,0.836147,0.367306,0.902719,42.8216,45.6306,88.4522
0.75,0.448738,0.843364,0.376372,0.910521,43.7524,46.6284,90.3808
0.76,0.457207,0.850443,0.385516,0.918177,44.6861,47.6291,92.3153
0.77,0.465746,0.857386,0.394735,0.925684,45.6225,48.6326,94.2552
0.78,0.474354,0.86419,0.404029,0.933042,46.5614,49.6385,96.1999
0.79,0.48303,0.870856,0.413395,0.94025,47.5024,50.6465,98.1489
0.8,0.491771,0.877382,0.422833,0.947308,48.4454,51.6563,100.102
0.81,0.500577,0.883769,0.432341,0.954216,49.3901,52.6677,102.058
0.82,0.509446,0.890016,0.441917,0.960972,50.3362,53.6805,104.017
0.83,0.518377,0.896122,0.45156,0.967576,51.2835,54.6943,105.978
0.84,0.527368,0.902088,0.461268,0.974029,52.2318,55.7089,107.941
0.85,0.536418,0.907911,0.47104,0.980329,53.1807,56.724,109.905
0.86,0.545526,0.913594,0.480874,0.986476,54.1301,57.7394,111.87
0.87,0.554689,0.919134,0.490769,0.992469,55.0797,58.7547,113.834
0.88,0.563908,0.924531,0.500723,0.998309,56.0293,59.7698,115.799
0.89,0.57318,0.929786,0.510735,1.004,56.9785,60.7844,117.763
0.9,0.582503,0.934899,0.520803,1.00953,57.9273,61.7983,119.726
0.91,0.591877,0.939868,0.530925,1.0149,58.8754,62.8111,121.686
0.92,0.6013,0.944693,0.5411,1.02013,59.8225,63.8226,123.645
0.93,0.61077,0.949376,0.551327,1.0252,60.7684,64.8327,125.601
0.94,0.620287,0.953914,0.561604,1.03011,61.7128,65.841,127.554
0.95,0.629848,0.95831,0.571929,1.03487,62.6556,66.8473,129.503
0.96,0.639453,0.962561,0.5823,1.03947,63.5966,67.8515,131.448
0.97,0.649099,0.966669,0.592717,1.04392,64.5355,68.8532,133.389
0.98,0.658786,0.970632,0.603178,1.04822,65.4721,69.8522,135.324
0.99,0.668511,0.974452,0.613681,1.05236,66.4061,70.8483,137.254
1,0.678274,0.978129,0.624225,1.05634,67.3375,71.8412,139.179
1.01,0.688073,0.981662,0.634808,1.06017,68.2659,72.8309,141.097
1.02,0.697907,0.985051,0.645428,1.06384,69.1912,73.817,143.008
1.03,0.707774,0.988296,0.656084,1.06737,70.1132,74.7993,144.912
1.04,0.717672,0.991399,0.666775,1.07073,71.0316,75.7776,146.809
1.05,0.727601,0.994358,0.677498,1.07395,71.9463,76.7518,148.698
1.06,0.737559,0.997175,0.688253,1.07701,72.8571,77.7215,150.579
1.07,0.747544,0.999849,0.699038,1.07991,73.7638,78.6867,152.451
1.08,0.757556,1.00238,0.709851,1.08266,74.6662,79.6471,154.313
1.09,0.767591,1.00477,0.72069,1.08527,75.5642,80.6025,156.167
1.1,0.777651,1.00702,0.731555,1.08771,76.4575,81.5528,158.01
1.11,0.787731,1.00912,0.742444,1.09001,77.3459,82.4977,159.844
1.12,0.797833,1.01109,0.753355,1.09216,78.2294,83.4371,161.666
1.13,0.807953,1.01291,0.764287,1.09415,79.1076,84.3708,163.478
1.14,0.81809,1.0146,0.775238,1.09599,79.9806,85.2986,165.279
1.15,0.828244,1.01614,0.786206,1.09769,80.848,86.2203,167.068
1.16,0.838413,1.01755,0.797191,1.09923,81.7098,87.1358,168.846
1.17,0.848595,1.01881,0.80819,1.10063,82.5657,88.045,170.611
1.18,0.858788,1.01994,0.819203,1.10188,83.4157,88.9476,172.363
1.19,0.868993,1.02093,0.830227,1.10298,84.2596,89.8434,174.103
1.2,0.879207,1.02178,0.841262,1.10393,85.0972,90.7325,175.83
1.21,0.889428,1.02249,0.852306,1.10474,85.9283,91.6145,177.543
1.22,0.899656,1.02307,0.863356,1.1054,86.753,92.4894,179.242
1.23,0.909889,1.02352,0.874413,1.10592,87.5709,93.357,180.928
1.24,0.920126,1.02382,0.885474,1.10629,88.382,94.2172,182.599
1.25,0.930365,1.024,0.896539,1.10653,89.1862,95.0699,184.256
1.26,0.940605,1.02404,0.907604,1.10661,89.9833,95.9148,185.898
1.27,0.950845,1.02394,0.91867,1.10656,90.7731,96.752,187.525
1.28,0.961084,1.02372,0.929735,1.10637,91.5557,97.5812,189.137
1.29,0.971319,1.02336,0.940797,1.10603,92.3309,98.4023,190.733
1.3,0.98155,1.02287,0.951855,1.10556,93.0984,99.2153,192.314
1.31,0.991776,1.02225,0.962908,1.10495,93.8584,100.02,193.878
1.32,1.00199,1.0215,0.973954,1.1042,94.6106,100.816,195.427
1.33,1.01221,1.02062,0.984992,1.10331,95.3549,101.604,196.959
1.34,1.02241,1.01962,0.99602,1.10229,96.0913,102.383,198.475
1.35,1.0326,1.01848,1.00704,1.10114,96.8196,103.154,199.974
1.36,1.04278,1.01722,1.01804,1.09985,97.5397,103.916,201.456
1.37,1.05294,1.01584,1.02903,1.09843,98.2517,104.669,202.921
1.38,1.06309,1.01433,1.04001,1.09688,98.9553,105.413,204.368
1.39,1.07323,1.01269,1.05097,1.09519,99.6506,106.148,205.798
1.4,1.08335,1.01093,1.06191,1.09338,100.337,106.874,207.211
1.41,1.09345,1.00905,1.07284,1.09144,101.016,107.59,208.606
1.42,1.10353,1.00705,1.08374,1.08937,101.685,108.298,209.983
1.43,1.11359,1.00492,1.09462,1.08717,102.346,108.996,211.342
1.44,1.12362,1.00268,1.10548,1.08485,102.998,109.685,212.683
1.45,1.13364,1.00032,1.11632,1.0824,103.642,110.364,214.006
1.46,1.14363,0.997836,1.12713,1.07983,104.276,111.034,215.31
1.47,1.1536,0.995238,1.13792,1.07714,104.902,111.694,216.596
1.48,1.16353,0.992523,1.14867,1.07432,105.518,112.345,217.864
1.49,1.17345,0.989692,1.1594,1.07139,106.126,112.986,219.112
1.5,1.18333,0.986746,1.1701,1.06834,106.725,113.618,220.342
1.51,1.19318,0.983687,1.18077,1.06516,107.314,114.239,221.554
1.52,1.203,0.980514,1.19141,1.06187,107.895,114.851,222.746
1.53,1.21279,0.977229,1.20201,1.05847,108.466,115.454,223.92
1.54,1.22255,0.973833,1.21257,1.05495,109.028,116.046,225.074
1.55,1.23227,0.970327,1.22311,1.05131,109.581,116.629,226.209
1.56,1.24195,0.966711,1.2336,1.04756,110.124,117.201,227.326
1.57,1.2516,0.962986,1.24406,1.0437,110.659,117.764,228.423
1.58,1.26121,0.959154,1.25447,1.03973,111.184,118.317,229.501
1.59,1.27078,0.955214,1.26485,1.03565,111.7,118.861,230.56
1.6,1.28032,0.951169,1.27519,1.03146,112.206,119.394,231.6
1.61,1.28981,0.947018,1.28548,1.02717,112.704,119.917,232.621
1.62,1.29926,0.942763,1.29573,1.02276,113.191,120.431,233.622
1.63,1.30866,0.938405,1.30593,1.01825,113.67,120.934,234.604
1.64,1.31802,0.933944,1.31609,1.01364,114.139,121.428,235.568
1.65,1.32734,0.929381,1.32621,1.00892,114.6,121.912,236.511
1.66,1.33661,0.924718,1.33627,1.0041,115.05,122.386,237.436
1.67,1.34583,0.919954,1.34629,0.999176,115.492,122.85,238.342
1.68,1.35501,0.915091,1.35626,0.994153,115.924,123.304,239.229
1.69,1.36414,0.91013,1.36617,0.98903,116.347,123.749,240.096
1.7,1.37321,0.905071,1.37604,0.983809,116.761,124.184,240.945
1.71,1.38224,0.899915,1.38585,0.97849,117.165,124.609,241.774
1.72,1.39121,0.894664,1.3956,0.973074,117.561,125.024,242.585
1.73,1.40013,0.889317,1.40531,0.967562,117.947,125.43,243.377
1.74,1.409,0.883877,1.41496,0.961956,118.325,125.826,244.15
1.75,1.41781,0.878342,1.42455,0.956255,118.693,126.212,244.905
1.76,1.42656,0.872715,1.43408,0.950461,119.052,126.589,245.641
1.77,1.43526,0.866996,1.44356,0.944576,119.402,126.956,246.358
1.78,1.4439,0.861186,1.45297,0.938599,119.743,127.314,247.057
1.79,1.45248,0.855285,1.46233,0.932531,120.076,127.662,247.738
1.8,1.46101,0.849294,1.47162,0.926374,120.399,128.001,248.4
1.81,1.46947,0.843215,1.48085,0.920129,120.714,128.331,249.045
1.82,1.47787,0.837047,1.49002,0.913795,121.02,128.651,249.671
1.83,1.48621,0.830792,1.49913,0.907375,121.317,128.962,250.28
1.84,1.49449,0.82445,1.50817,0.900868,121.606,129.264,250.87
1.85,1.5027,0.818021,1.51715,0.894276,121.886,129.557,251.443
1.86,1.51085,0.811508,1.52606,0.887599,122.158,129.841,251.999
